Invoice_number,Customer_id,Service_id,Agent_id,Payment_status,Transaction_type,Mode_of_payment,Plan_name,Plan_category,Plan_charge,Tax_amount,Actual_amount,Billed_amount,Paid_amount,Balance_amount,Zone_area,Data_bought,Data_used,Billing_cycle,Billing_date_year,Billing_date_month,Billing_date_day,Plan_start_date_year,Plan_start_date_month,Plan_start_date_day,Plan_end_date_year,Plan_end_date_month,Plan_end_date_day,No_of_valid_days,Anomaly_type,Leakage
INV104047,CUST004124,SVC2011,AGT131,Pending,Renewal,Cash,Data Booster,Prepaid,999,179.82,1178.82,1178.82,0.0,1178.82,Circle-East,25,21.44,30,2025,7,1,2025,6,28,2025,7,28,31,No anomaly,No
INV104900,CUST007509,SVC9438,AGT022,Pending,Bill Payment,Auto Debit,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0.0,3538.82,Circle-North,100,16.52,28,2025,4,18,2025,4,17,2025,5,15,29,No anomaly,No
INV103325,CUST002160,SVC5122,AGT056,Paid,Renewal,Net Banking,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,2948.82,0.0,Rural-Zone,75,30.43,30,2024,3,15,2024,3,13,2024,4,12,31,No anomaly,No
INV100999,CUST005173,SVC7422,AGT067,Paid,Bill Payment,Debit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0.0,Circle-North,150,71.86,30,2025,5,8,2025,5,7,2025,6,6,31,No anomaly,No
INV108444,CUST001834,SVC8906,AGT012,Paid,Recharge,Credit Card,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0.0,Metro-B,100,31.68,30,2024,12,19,2024,12,14,2025,1,13,31,No anomaly,No
INV102600,CUST007519,SVC4213,AGT146,Paid,New Connection,Cash,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,2358.82,0.0,Circle-South,50,13.32,30,2024,3,15,2024,3,11,2024,4,10,31,No anomaly,No
INV102158,CUST003141,SVC1816,AGT042,Pending,Bill Payment,Debit Card,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0.0,1768.82,Circle-North,30,19.14,31,2024,1,27,2024,1,24,2024,2,24,32,No anomaly,No
INV105784,CUST004328,SVC4063,AGT049,Pending,Bill Payment,Cash,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,Circle-South,150,99.0,28,2024,5,27,2024,5,22,2024,6,19,29,No anomaly,No
INV105465,CUST007614,SVC9458,AGT141,Pending,New Connection,Net Banking,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0.0,5898.82,Metro-B,200,154.68,30,2025,2,6,2025,2,4,2025,3,6,31,No anomaly,No
INV105041,CUST000640,SVC1816,AGT038,Pending,Renewal,Auto Debit,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0.0,1768.82,Metro-A,30,26.63,28,2024,6,15,2024,6,10,2024,7,8,29,No anomaly,No
INV104847,CUST007834,SVC7051,AGT146,Pending,Plan Change,Debit Card,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0.0,3538.82,Circle-West,100,13.53,28,2025,2,12,2025,2,11,2025,3,11,29,No anomaly,No
INV105945,CUST006692,SVC7784,AGT055,Pending,Bill Payment,Net Banking,Smart Connect,Prepaid,699,125.82,824.82,824.82,0.0,824.82,Metro-B,15,11.61,31,2024,6,4,2024,6,1,2024,7,2,32,Usage mismatch,No
INV100804,CUST005172,SVC6896,AGT012,Pending,New Connection,Debit Card,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,0.0,2948.82,Metro-B,75,31.38,30,2024,10,4,2024,10,2,2024,11,1,31,No anomaly,No
INV100083,CUST007973,SVC4920,AGT041,Pending,Renewal,Wallet,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0.0,9438.82,Metro-A,500,57.68,28,2024,9,12,2024,9,8,2024,10,6,29,No anomaly,No
INV103863,CUST001088,SVC9740,AGT150,Pending,Renewal,Credit Card,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0.0,9438.82,Circle-North,500,399.09,31,2024,6,23,2024,6,21,2024,7,22,32,No anomaly,No
INV105022,CUST002415,SVC8638,AGT038,Pending,New Connection,UPI,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,Circle-South,1000,133.76,31,2025,5,6,2025,5,1,2025,6,1,32,No anomaly,No
INV101749,CUST003712,SVC9383,AGT080,Pending,Plan Change,Credit Card,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0.0,9438.82,Circle-South,500,12.17,31,2025,6,28,2025,6,25,2025,7,26,32,No anomaly,No
INV102877,CUST005133,SVC1500,AGT013,Pending,Bill Payment,UPI,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0.0,1768.82,Metro-A,30,27.39,28,2023,11,10,2023,11,5,2023,12,3,29,No anomaly,No
INV103527,CUST005014,SVC6094,AGT009,Paid,Plan Change,Auto Debit,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,Metro-B,1000,256.23,30,2025,1,27,2025,1,22,2025,2,21,31,No anomaly,No
INV103868,CUST005354,SVC9803,AGT089,Pending,Plan Change,Debit Card,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,0.0,2948.82,Circle-East,75,2.98,28,2025,7,24,2025,7,22,2025,8,19,29,No anomaly,No
INV104246,CUST006562,SVC8171,AGT142,Pending,Bill Payment,Net Banking,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0.0,1768.82,Circle-West,30,2.3,30,2025,8,9,2025,8,6,2025,9,5,31,No anomaly,No
INV103451,CUST002128,SVC2399,AGT046,Pending,New Connection,Debit Card,Basic Starter,Prepaid,399,71.82,470.82,470.82,0.0,470.82,Metro-B,5,0.63,28,2024,5,9,2024,5,7,2024,6,4,29,No anomaly,No
INV103150,CUST005693,SVC4856,AGT106,Paid,Renewal,Net Banking,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0.0,Circle-North,100,3.09,30,2024,12,4,2024,11,29,2024,12,29,31,No anomaly,No
INV102480,CUST005523,SVC4658,AGT006,Paid,Recharge,Debit Card,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,2948.82,0.0,Rural-Zone,75,45.71,30,2024,2,5,2024,2,3,2024,3,4,31,No anomaly,No
INV102818,CUST003195,SVC4643,AGT012,Pending,Plan Change,Auto Debit,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,Circle-West,750,73.37,31,2024,1,3,2024,1,2,2024,2,2,32,Usage mismatch,No
INV100197,CUST000298,SVC7504,AGT127,Paid,Plan Change,Cash,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0.0,Rural-Zone,200,177.45,30,2025,8,18,2025,8,14,2025,9,13,31,No anomaly,No
INV101228,CUST006597,SVC3106,AGT038,Pending,Bill Payment,UPI,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,Rural-Zone,1000,146.72,28,2024,11,13,2024,11,9,2024,12,7,29,No anomaly,No
INV105553,CUST002334,SVC8195,AGT060,Pending,Plan Change,Cash,Basic Starter,Prepaid,399,71.82,470.82,470.82,0.0,470.82,Metro-B,5,4.05,30,2024,5,20,2024,5,15,2024,6,14,31,No anomaly,No
INV103196,CUST005878,SVC8725,AGT014,Paid,New Connection,Wallet,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0.0,Circle-West,500,384.71,30,2023,12,26,2023,12,25,2024,1,24,31,No anomaly,No
INV104940,CUST005385,SVC3104,AGT068,Pending,Bill Payment,Net Banking,Basic Starter,Prepaid,399,71.82,470.82,470.82,0.0,470.82,Metro-B,5,2.39,28,2025,5,27,2025,5,22,2025,6,19,29,No anomaly,No
INV108709,CUST007468,SVC3309,AGT104,Paid,Plan Change,Debit Card,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1178.82,0.0,Metro-B,25,6.18,30,2025,6,16,2025,6,12,2025,7,12,31,No anomaly,No
INV101179,CUST004808,SVC6291,AGT096,Pending,Bill Payment,Net Banking,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0.0,2358.82,Circle-West,50,6.64,31,2025,5,6,2025,5,4,2025,6,4,32,No anomaly,No
INV104235,CUST001457,SVC6344,AGT071,Paid,Renewal,Credit Card,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,11798.82,0.0,Rural-Zone,750,440.92,30,2023,12,19,2023,12,17,2024,1,16,31,No anomaly,No
INV102135,CUST007547,SVC1154,AGT031,Pending,New Connection,Debit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,Circle-South,1000,823.97,31,2024,12,11,2024,12,7,2025,1,7,32,No anomaly,No
INV101422,CUST005759,SVC9004,AGT060,Pending,New Connection,UPI,Basic Starter,Prepaid,399,71.82,470.82,470.82,0.0,470.82,Circle-North,5,2.65,31,2024,1,24,2024,1,23,2024,2,23,32,Usage mismatch,No
INV103269,CUST006127,SVC4042,AGT033,Pending,Renewal,Debit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,Circle-North,150,44.29,31,2024,10,27,2024,10,25,2024,11,25,32,No anomaly,No
INV108673,CUST005105,SVC5295,AGT110,Paid,Bill Payment,Debit Card,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,1532.82,0.0,Metro-A,40,37.37,30,2024,5,30,2024,5,28,2024,6,27,31,No anomaly,No
INV102926,CUST002351,SVC1638,AGT096,Paid,Recharge,Cash,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0.0,Circle-South,100,85.18,30,2023,10,28,2023,10,26,2023,11,25,31,No anomaly,No
INV103407,CUST001586,SVC8626,AGT014,Pending,New Connection,Wallet,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0.0,2358.82,Rural-Zone,50,33.25,28,2024,2,14,2024,2,10,2024,3,9,29,No anomaly,No
INV102718,CUST003483,SVC2523,AGT131,Pending,Recharge,Wallet,Youth Special,Prepaid,599,107.82,706.82,706.82,0.0,706.82,Circle-South,10,4.47,30,2023,11,21,2023,11,18,2023,12,18,31,No anomaly,No
INV102290,CUST005717,SVC6536,AGT024,Pending,Recharge,UPI,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0.0,5898.82,Circle-West,200,29.92,30,2025,8,27,2025,8,23,2025,9,22,31,No anomaly,No
INV101670,CUST002665,SVC5811,AGT117,Pending,New Connection,UPI,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0.0,2358.82,Rural-Zone,50,14.61,28,2024,6,5,2024,6,3,2024,7,1,29,No anomaly,No
INV108418,CUST002112,SVC5526,AGT048,Paid,Bill Payment,UPI,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0.0,Metro-A,30,4.07,30,2025,2,6,2025,2,1,2025,3,3,31,No anomaly,No
INV105363,CUST006886,SVC3721,AGT147,Pending,Bill Payment,Cash,Data Booster,Prepaid,999,179.82,1178.82,1178.82,0.0,1178.82,Metro-A,25,2.3,30,2023,12,9,2023,12,7,2024,1,6,31,No anomaly,No
INV100986,CUST005677,SVC7375,AGT003,Pending,Bill Payment,Auto Debit,Youth Special,Prepaid,599,107.82,706.82,706.82,0.0,706.82,Circle-East,10,3.37,31,2025,8,3,2025,8,1,2025,9,1,32,Usage mismatch,No
INV102154,CUST002422,SVC5795,AGT112,Pending,Renewal,Auto Debit,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,Circle-North,750,13.44,30,2025,4,8,2025,4,6,2025,5,6,31,No anomaly,No
INV102699,CUST002465,SVC9424,AGT019,Pending,Recharge,Auto Debit,Youth Special,Prepaid,599,107.82,706.82,706.82,0.0,706.82,Rural-Zone,10,8.31,31,2025,5,25,2025,5,23,2025,6,23,32,No anomaly,No
INV105007,CUST007670,SVC3618,AGT054,Pending,Plan Change,Credit Card,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0.0,3538.82,Circle-North,100,83.35,28,2023,9,19,2023,9,14,2023,10,12,29,No anomaly,No
INV103807,CUST004514,SVC6336,AGT031,Pending,Plan Change,Debit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,Rural-Zone,150,79.69,30,2024,7,9,2024,7,6,2024,8,5,31,No anomaly,No
INV102542,CUST000549,SVC6697,AGT109,Pending,Renewal,Net Banking,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0.0,1768.82,Circle-West,30,18.34,30,2025,5,18,2025,5,15,2025,6,14,31,No anomaly,No
INV100072,CUST006478,SVC4697,AGT134,Pending,Recharge,Net Banking,Basic Starter,Prepaid,399,71.82,470.82,470.82,0.0,470.82,Circle-South,5,2.88,30,2024,5,9,2024,5,8,2024,6,7,31,No anomaly,No
INV105499,CUST005439,SVC8536,AGT095,Pending,Recharge,Cash,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0.0,2358.82,Metro-B,50,25.4,30,2025,7,9,2025,7,7,2025,8,6,31,No anomaly,No
INV108569,CUST000429,SVC5611,AGT013,Paid,Renewal,Net Banking,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0.0,Circle-East,15,3.25,30,2025,8,30,2025,8,25,2025,9,24,31,No anomaly,No
INV103811,CUST007143,SVC3781,AGT069,Pending,Bill Payment,Net Banking,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,Circle-West,150,15.78,28,2025,5,22,2025,5,18,2025,6,15,29,No anomaly,No
INV104253,CUST006670,SVC2138,AGT146,Pending,Plan Change,Net Banking,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,0.0,1532.82,Circle-South,40,20.34,30,2024,9,24,2024,9,22,2024,10,22,31,No anomaly,No
INV104906,CUST003269,SVC3842,AGT076,Pending,Bill Payment,Auto Debit,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,Circle-North,750,3.0,28,2025,7,17,2025,7,16,2025,8,13,29,No anomaly,No
INV102744,CUST001087,SVC8468,AGT013,Pending,Plan Change,Debit Card,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0.0,3538.82,Metro-B,100,12.3,31,2024,1,2,2023,12,30,2024,1,30,32,No anomaly,No
INV100931,CUST003652,SVC2616,AGT020,Paid,Bill Payment,Wallet,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,2948.82,0.0,Circle-North,75,13.75,30,2025,8,17,2025,8,16,2025,9,15,31,No anomaly,No
INV103749,CUST002840,SVC1738,AGT032,Pending,Renewal,Net Banking,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,0.0,2948.82,Circle-South,75,42.69,31,2025,1,8,2025,1,4,2025,2,4,32,No anomaly,No
INV103295,CUST001453,SVC9009,AGT103,Pending,Recharge,Net Banking,Smart Connect,Prepaid,699,125.82,824.82,824.82,0.0,824.82,Circle-East,15,8.21,31,2025,1,26,2025,1,22,2025,2,22,32,Usage mismatch,No
