Invoice_number,Customer_id,Service_id,Agent_id,Billing_date,Payment_status,Transaction_type,Mode_of_payment,Plan_name,Plan_category,Plan_charge,Tax_amount,Actual_amount,Billed_amount,Paid_amount,Balance_amount,Plan_start_date,Plan_end_date,Zone_area,Data_bought,Data_used,Billing_cycle,No_of_valid_days,Leakage,Anomaly_type
INV106000,CUST002459,SVC3832,AGT069,02-10-2023,Paid,Renewal,Debit Card,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0,30-09-2023,31-10-2023,Metro-A,30,25.46,31,31,Yes,Duplicate entries
INV105075,CUST006570,SVC3346,AGT115,12-08-2024,Paid,Renewal,Wallet,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0,10-08-2024,07-09-2024,Metro-B,500,462.98,28,28,No,No anomaly
INV107256,CUST002455,SVC8032,AGT051,04-11-2023,Paid,Plan Change,UPI,Youth Special,Prepaid,599,107.82,706.82,706.82,949.11,-242.29,31-10-2023,28-11-2023,Circle-West,10,2.45,28,28,Yes,Excess payment
INV102605,CUST005381,SVC6776,AGT148,24-03-2025,Paid,New Connection,UPI,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0,23-03-2025,22-04-2025,Rural-Zone,15,2.03,30,30,No,No anomaly
INV106973,CUST002628,SVC6873,AGT076,10-03-2025,Paid,Plan Change,Debit Card,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,2061.32,-292.5,08-03-2025,05-04-2025,Circle-West,30,5.96,28,28,Yes,Excess payment
INV102980,CUST001463,SVC7501,AGT102,22-12-2023,Paid,New Connection,Debit Card,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0,18-12-2023,17-01-2024,Metro-B,10,1.1,30,30,No,No anomaly
INV100498,CUST004241,SVC3213,AGT078,13-06-2025,Pending,New Connection,UPI,Youth Special,Prepaid,599,107.82,706.82,706.82,0,706.82,12-06-2025,12-07-2025,Metro-B,10,5.66,30,30,No,No anomaly
INV104801,CUST007788,SVC7021,AGT090,21-05-2025,Paid,Renewal,Net Banking,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0,18-05-2025,17-06-2025,Circle-South,200,148.39,30,30,No,No anomaly
INV103106,CUST002402,SVC2708,AGT027,10-11-2023,Pending,Recharge,Net Banking,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0,9438.82,06-11-2023,07-12-2023,Circle-East,500,308.39,31,31,No,No anomaly
INV104841,CUST003917,SVC9227,AGT008,24-01-2025,Paid,Renewal,UPI,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0,21-01-2025,20-02-2025,Circle-West,15,6.63,30,30,No,No anomaly
INV105733,CUST006689,SVC8531,AGT020,19-03-2025,Pending,Recharge,UPI,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,0,1532.82,16-03-2025,15-04-2025,Metro-A,40,30.29,30,30,No,No anomaly
INV105580,CUST005318,SVC5457,AGT057,28-01-2024,Paid,Bill Payment,Net Banking,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,11798.82,0,26-01-2024,23-02-2024,Metro-A,750,700.69,28,28,No,No anomaly
INV104576,CUST006522,SVC2256,AGT090,04-07-2024,Paid,New Connection,Wallet,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0,01-07-2024,01-08-2024,Circle-East,200,128.99,31,31,No,No anomaly
INV105639,CUST001084,SVC4466,AGT091,28-01-2025,Paid,Renewal,UPI,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1178.82,0,24-01-2025,24-02-2025,Circle-North,25,22.37,31,31,No,No anomaly
INV107914,CUST000945,SVC2447,AGT015,18-04-2024,Partial,New Connection,Net Banking,Basic Starter,Prepaid,399,71.82,470.82,470.82,274.3,196.52,14-04-2024,14-05-2024,Circle-North,5,3.96,30,30,Yes,Under payment
INV102287,CUST000961,SVC9840,AGT071,20-06-2025,Pending,New Connection,Auto Debit,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0,9438.82,17-06-2025,17-07-2025,Metro-B,500,424.07,30,30,No,No anomaly
INV106635,CUST004084,SVC1044,AGT109,02-06-2025,Paid,Recharge,UPI,Family Pack,Postpaid,1499,269.82,1768.82,2613.78,2613.78,0,29-05-2025,28-06-2025,Metro-A,30,1.6,30,30,Yes,Missing charges
INV101143,CUST007941,SVC8723,AGT097,08-02-2024,Paid,Renewal,Net Banking,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0,04-02-2024,03-03-2024,Metro-A,30,2.84,28,28,No,No anomaly
INV104969,CUST006748,SVC8638,AGT004,18-02-2025,Paid,Plan Change,Cash,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1178.82,0,15-02-2025,17-03-2025,Metro-B,25,18.97,30,30,No,No anomaly
INV105803,CUST001773,SVC4568,AGT010,25-12-2024,Pending,Renewal,Auto Debit,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0,2358.82,24-12-2024,23-01-2025,Metro-A,50,35.89,30,30,No,No anomaly
INV100118,CUST005451,SVC7929,AGT014,25-05-2024,Pending,Renewal,Wallet,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0,15338.82,24-05-2024,24-06-2024,Circle-North,1000,335.92,31,31,No,No anomaly
INV102436,CUST002776,SVC8779,AGT021,13-07-2024,Paid,Plan Change,Cash,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,11798.82,0,08-07-2024,05-08-2024,Circle-South,750,212.19,28,28,No,No anomaly
INV101715,CUST004568,SVC9107,AGT072,28-11-2024,Paid,New Connection,Debit Card,Basic Starter,Prepaid,399,71.82,470.82,470.82,470.82,0,23-11-2024,21-12-2024,Circle-East,5,2.28,28,28,No,No anomaly
INV102458,CUST003764,SVC5900,AGT082,12-04-2025,Paid,Plan Change,Net Banking,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0,11-04-2025,11-05-2025,Circle-West,30,23.95,30,30,No,No anomaly
INV107509,CUST007134,SVC9568,AGT093,30-05-2025,Partial,New Connection,Auto Debit,Basic Starter,Prepaid,399,71.82,470.82,470.82,306.18,164.64,28-05-2025,25-06-2025,Circle-North,5,3.61,28,28,Yes,Under payment
INV109316,CUST000779,SVC4280,AGT088,20-01-2025,Paid,Bill Payment,Credit Card,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1178.82,0,19-01-2025,19-02-2025,Circle-East,25,36.19,31,31,Yes,Extra data usage
INV100470,CUST003377,SVC5256,AGT040,16-11-2024,Pending,Renewal,Credit Card,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,0,1532.82,15-11-2024,15-12-2024,Metro-A,40,11.7,30,30,No,No anomaly
INV106226,CUST007669,SVC2303,AGT027,02-09-2024,Paid,New Connection,Debit Card,Business Basic,Enterprise,4999,899.82,5898.82,7817.11,7817.11,0,28-08-2024,28-09-2024,Metro-A,200,153.25,31,31,Yes,Missing charges
INV107765,CUST002719,SVC2153,AGT035,20-04-2025,Partial,Renewal,UPI,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,1301.53,1057.29,16-04-2025,16-05-2025,Circle-East,50,6.55,30,30,Yes,Under payment
INV107455,CUST007304,SVC2328,AGT065,28-04-2025,Partial,Bill Payment,Debit Card,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1050.05,128.77,27-04-2025,25-05-2025,Metro-B,25,0.13,28,28,Yes,Under payment
INV104861,CUST005169,SVC7115,AGT087,12-02-2024,Paid,Plan Change,Credit Card,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0,08-02-2024,07-03-2024,Metro-A,200,158.16,28,28,No,No anomaly
INV104718,CUST005059,SVC9464,AGT060,08-01-2024,Pending,Recharge,Net Banking,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0,2358.82,04-01-2024,04-02-2024,Circle-South,50,22.36,31,31,No,No anomaly
INV102274,CUST001079,SVC1070,AGT022,28-07-2025,Pending,Recharge,Cash,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,0,2948.82,27-07-2025,27-08-2025,Circle-North,75,28.66,31,31,No,No anomaly
INV101510,CUST005734,SVC9435,AGT025,20-06-2025,Paid,Recharge,Wallet,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0,17-06-2025,18-07-2025,Metro-B,150,91.69,31,31,No,No anomaly
INV104225,CUST000375,SVC8101,AGT110,06-06-2024,Pending,Recharge,Debit Card,Basic Starter,Prepaid,399,71.82,470.82,470.82,0,470.82,02-06-2024,03-07-2024,Circle-West,5,2.29,31,31,No,No anomaly
INV109046,CUST000863,SVC1469,AGT003,21-06-2024,Paid,Plan Change,Debit Card,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0,18-06-2024,18-07-2024,Metro-A,100,172.61,30,30,Yes,Extra data usage
INV108965,CUST002284,SVC3355,AGT037,12-11-2024,Paid,Renewal,Net Banking,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0,10-11-2024,08-12-2024,Circle-East,10,18.46,28,28,Yes,Extra data usage
INV108933,CUST002123,SVC8021,AGT146,21-09-2023,Paid,New Connection,Wallet,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,2358.82,0,19-09-2023,20-10-2023,Metro-A,50,91.21,31,31,Yes,Extra data usage
INV107207,CUST000833,SVC2805,AGT037,26-11-2023,Paid,New Connection,Credit Card,Smart Connect,Prepaid,699,125.82,824.82,824.82,1310.46,-485.64,24-11-2023,25-12-2023,Circle-North,15,11.04,31,31,Yes,Excess payment
INV101935,CUST000392,SVC6377,AGT129,22-01-2024,Paid,Recharge,Debit Card,Basic Starter,Prepaid,399,71.82,470.82,470.82,470.82,0,17-01-2024,17-02-2024,Circle-East,5,0.69,31,31,No,No anomaly
INV107646,CUST002604,SVC5016,AGT032,12-08-2024,Partial,Renewal,Net Banking,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,3012.19,2886.63,10-08-2024,09-09-2024,Circle-North,200,75.76,30,30,Yes,Under payment
INV105780,CUST006181,SVC5811,AGT079,21-02-2025,Paid,Recharge,Credit Card,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0,20-02-2025,20-03-2025,Circle-East,200,83.32,28,28,No,No anomaly
INV105896,CUST004018,SVC9267,AGT149,11-09-2024,Paid,Renewal,Cash,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0,09-09-2024,09-10-2024,Circle-West,500,352.68,30,30,No,No anomaly
INV104161,CUST006235,SVC9275,AGT047,29-11-2024,Pending,Renewal,Cash,Data Booster,Prepaid,999,179.82,1178.82,1178.82,0,1178.82,24-11-2024,22-12-2024,Circle-North,25,6.72,28,28,No,No anomaly
INV107090,CUST006288,SVC2143,AGT049,25-03-2025,Paid,Bill Payment,Auto Debit,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,6895.31,-996.49,23-03-2025,20-04-2025,Circle-South,200,127.98,28,28,Yes,Excess payment
INV107284,CUST007118,SVC4459,AGT099,18-09-2023,Paid,Plan Change,Debit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,18682.53,-3343.71,14-09-2023,12-10-2023,Circle-East,1000,907.25,28,28,Yes,Excess payment
INV103282,CUST007523,SVC4597,AGT132,12-07-2024,Paid,Plan Change,Net Banking,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0,09-07-2024,09-08-2024,Circle-North,150,65.03,31,31,No,No anomaly
INV104520,CUST000764,SVC3859,AGT123,27-06-2024,Pending,Recharge,Auto Debit,Smart Connect,Prepaid,699,125.82,824.82,824.82,0,824.82,23-06-2024,21-07-2024,Circle-West,15,13.91,28,28,No,No anomaly
INV107569,CUST007443,SVC4569,AGT038,13-08-2024,Partial,Recharge,Wallet,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,3891.65,827.17,10-08-2024,09-09-2024,Metro-A,150,12.58,30,30,Yes,Under payment
INV104585,CUST007782,SVC3822,AGT150,20-12-2024,Paid,Renewal,Credit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0,16-12-2024,16-01-2025,Circle-South,1000,573.83,31,31,No,No anomaly
INV104882,CUST001064,SVC8652,AGT150,20-12-2024,Pending,Plan Change,Debit Card,Basic Starter,Prepaid,399,71.82,470.82,470.82,0,470.82,17-12-2024,14-01-2025,Circle-West,5,3,28,28,No,No anomaly
INV104955,CUST000337,SVC4298,AGT094,16-12-2023,Pending,Bill Payment,Debit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0,4718.82,13-12-2023,13-01-2024,Rural-Zone,150,114.65,31,31,No,No anomaly
INV108937,CUST005438,SVC3164,AGT054,14-12-2024,Paid,Renewal,Debit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0,11-12-2024,10-01-2025,Rural-Zone,150,265.62,30,30,Yes,Extra data usage
INV103761,CUST000479,SVC6693,AGT042,27-05-2025,Pending,Recharge,Cash,Smart Connect,Prepaid,699,125.82,824.82,824.82,0,824.82,22-05-2025,21-06-2025,Metro-A,15,13.25,30,30,No,No anomaly
INV107460,CUST004504,SVC3937,AGT099,25-09-2024,Partial,Renewal,Debit Card,Data Booster,Prepaid,999,179.82,1178.82,1178.82,442.37,736.45,22-09-2024,23-10-2024,Circle-North,25,14.42,31,31,Yes,Under payment
INV100405,CUST000445,SVC3916,AGT065,29-04-2025,Paid,Bill Payment,Credit Card,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,2358.82,0,26-04-2025,24-05-2025,Circle-East,50,4.16,28,28,No,No anomaly
INV106000,CUST002923,SVC7035,AGT147,22-03-2025,Paid,Plan Change,UPI,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,2358.82,0,19-03-2025,16-04-2025,Metro-A,50,43.25,28,28,Yes,Duplicate entries
INV102808,CUST004478,SVC3404,AGT086,13-12-2024,Pending,Bill Payment,Auto Debit,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0,4718.82,12-12-2024,11-01-2025,Circle-North,150,112.53,30,30,No,No anomaly
INV105532,CUST008000,SVC8904,AGT066,22-07-2025,Pending,New Connection,UPI,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0,5898.82,20-07-2025,17-08-2025,Circle-South,200,17.08,28,28,No,No anomaly
INV107334,CUST005779,SVC5745,AGT060,17-05-2025,Paid,Plan Change,Credit Card,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,14901.06,-5462.24,14-05-2025,11-06-2025,Metro-A,500,179.08,28,28,Yes,Excess payment
INV105615,CUST005624,SVC2744,AGT131,22-08-2025,Pending,Renewal,Wallet,Smart Connect,Prepaid,699,125.82,824.82,824.82,0,824.82,17-08-2025,17-09-2025,Rural-Zone,15,4.84,31,31,No,No anomaly
INV109360,CUST005766,SVC7932,AGT150,15-05-2024,Paid,New Connection,Wallet,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0,13-05-2024,10-06-2024,Metro-A,30,40.73,28,28,Yes,Extra data usage
INV105836,CUST000064,SVC4150,AGT004,01-08-2024,Paid,Recharge,Debit Card,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0,30-07-2024,27-08-2024,Circle-West,10,6.96,28,28,No,No anomaly
INV104369,CUST000115,SVC9261,AGT056,10-06-2025,Paid,Bill Payment,Net Banking,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1178.82,0,08-06-2025,08-07-2025,Metro-B,25,11.18,30,30,No,No anomaly
INV103070,CUST000646,SVC5506,AGT070,29-11-2023,Pending,Bill Payment,Wallet,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0,1768.82,26-11-2023,27-12-2023,Metro-A,30,14.71,31,31,No,No anomaly
INV102866,CUST000876,SVC8082,AGT128,31-10-2023,Pending,Bill Payment,Auto Debit,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0,11798.82,30-10-2023,29-11-2023,Circle-South,750,31.55,30,30,No,No anomaly
INV102825,CUST003016,SVC9933,AGT060,05-06-2024,Paid,Bill Payment,Auto Debit,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,1532.82,0,03-06-2024,03-07-2024,Circle-North,40,7.56,30,30,No,No anomaly
INV104300,CUST002416,SVC5706,AGT059,01-01-2024,Pending,Plan Change,Auto Debit,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0,9438.82,28-12-2023,28-01-2024,Circle-West,500,334.83,31,31,No,No anomaly
INV106040,CUST006268,SVC4761,AGT050,20-11-2024,Paid,Renewal,Net Banking,Enterprise Pro,Enterprise,7999,1439.82,9438.82,6055.81,6055.81,0,16-11-2024,14-12-2024,Circle-North,500,291.7,28,28,Yes,Missing charges
INV106582,CUST002401,SVC8035,AGT126,27-01-2025,Paid,New Connection,UPI,Enterprise Pro,Enterprise,7999,1439.82,9438.82,8135.97,8135.97,0,23-01-2025,22-02-2025,Metro-A,500,361.77,30,30,Yes,Missing charges
INV100140,CUST006791,SVC9624,AGT024,19-05-2025,Paid,Recharge,Wallet,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,1532.82,0,16-05-2025,13-06-2025,Circle-North,40,25.46,28,28,No,No anomaly
INV109110,CUST007620,SVC2863,AGT035,11-02-2025,Paid,Bill Payment,Auto Debit,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0,07-02-2025,10-03-2025,Circle-South,10,19.92,31,31,Yes,Extra data usage
INV105273,CUST006922,SVC9478,AGT013,03-10-2024,Pending,Bill Payment,UPI,Smart Connect,Prepaid,699,125.82,824.82,824.82,0,824.82,29-09-2024,30-10-2024,Metro-B,15,10.35,31,31,No,No anomaly
INV104545,CUST004796,SVC1769,AGT119,08-04-2024,Pending,Renewal,Debit Card,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0,9438.82,05-04-2024,05-05-2024,Circle-East,500,376.75,30,30,No,No anomaly
INV106652,CUST001170,SVC4795,AGT102,25-12-2024,Paid,Bill Payment,Credit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,5938.32,5938.32,0,24-12-2024,21-01-2025,Circle-South,150,39.19,28,28,Yes,Missing charges
INV107153,CUST004023,SVC3641,AGT085,21-07-2025,Paid,Plan Change,Wallet,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,14877.52,-5438.7,16-07-2025,13-08-2025,Circle-East,500,78.43,28,28,Yes,Excess payment
INV107933,CUST001608,SVC8894,AGT145,27-12-2024,Partial,New Connection,Wallet,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,2866.83,1851.99,26-12-2024,25-01-2025,Circle-South,150,6.37,30,30,Yes,Under payment
INV102397,CUST007769,SVC3647,AGT043,28-04-2025,Paid,New Connection,Wallet,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0,24-04-2025,24-05-2025,Circle-West,150,47.98,30,30,No,No anomaly
INV107770,CUST005899,SVC8853,AGT119,06-06-2025,Partial,New Connection,Auto Debit,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,6736.86,2701.96,01-06-2025,01-07-2025,Metro-A,500,351.5,30,30,Yes,Under payment
INV102708,CUST002171,SVC9123,AGT096,24-05-2025,Pending,Bill Payment,UPI,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0,15338.82,23-05-2025,23-06-2025,Circle-West,1000,773.03,31,31,No,No anomaly
INV106000,CUST005223,SVC1907,AGT101,18-11-2024,Paid,New Connection,Wallet,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,1532.82,0,13-11-2024,14-12-2024,Rural-Zone,40,23.85,31,31,Yes,Duplicate entries
INV101489,CUST003796,SVC3136,AGT107,13-05-2024,Pending,New Connection,Debit Card,Youth Special,Prepaid,599,107.82,706.82,706.82,0,706.82,09-05-2024,09-06-2024,Metro-B,10,8.38,31,31,No,No anomaly
INV100840,CUST000883,SVC6359,AGT083,22-04-2024,Paid,Bill Payment,Cash,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0,20-04-2024,21-05-2024,Metro-B,500,197.45,31,31,No,No anomaly
INV108742,CUST007384,SVC2070,AGT136,14-03-2025,Paid,New Connection,UPI,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0,10-03-2025,07-04-2025,Circle-South,500,138.61,28,27,Yes,Usage mismatch
INV102638,CUST007227,SVC2318,AGT068,02-08-2025,Paid,Renewal,UPI,Basic Starter,Prepaid,399,71.82,470.82,470.82,470.82,0,30-07-2025,30-08-2025,Circle-North,5,3.63,31,31,No,No anomaly
INV100292,CUST002090,SVC2685,AGT147,04-07-2024,Paid,New Connection,Debit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0,30-06-2024,30-07-2024,Circle-West,1000,349.3,30,30,No,No anomaly
INV108425,CUST004233,SVC4972,AGT087,02-01-2024,Paid,New Connection,Wallet,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0,30-12-2023,30-01-2024,Circle-East,10,5.88,31,38,Yes,Usage mismatch
INV107732,CUST001498,SVC9062,AGT029,31-12-2024,Partial,Renewal,Auto Debit,Youth Special,Prepaid,599,107.82,706.82,706.82,244.69,462.13,27-12-2024,26-01-2025,Circle-South,10,1.01,30,30,Yes,Under payment
INV104045,CUST003525,SVC3497,AGT023,29-03-2025,Paid,Plan Change,Wallet,Basic Starter,Prepaid,399,71.82,470.82,470.82,470.82,0,27-03-2025,27-04-2025,Circle-North,5,3.88,31,31,No,No anomaly
INV109229,CUST007320,SVC3773,AGT003,17-02-2024,Paid,Recharge,Credit Card,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0,13-02-2024,12-03-2024,Metro-B,200,337.01,28,28,Yes,Extra data usage
INV101080,CUST005435,SVC2021,AGT061,12-08-2025,Pending,Recharge,Credit Card,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0,3538.82,07-08-2025,06-09-2025,Rural-Zone,100,87.8,30,30,No,No anomaly
INV106579,CUST007567,SVC7913,AGT100,17-09-2024,Paid,Recharge,UPI,Business Basic,Enterprise,4999,899.82,5898.82,4219.36,4219.36,0,13-09-2024,14-10-2024,Metro-A,200,93.11,31,31,Yes,Missing charges
INV101318,CUST007954,SVC1867,AGT092,27-11-2023,Pending,Bill Payment,Credit Card,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0,11798.82,22-11-2023,22-12-2023,Rural-Zone,750,614.7,30,30,No,No anomaly
INV105531,CUST000287,SVC4126,AGT080,18-11-2024,Pending,Recharge,Credit Card,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0,3538.82,13-11-2024,13-12-2024,Rural-Zone,100,3.07,30,30,No,No anomaly
INV105638,CUST000699,SVC5420,AGT060,04-01-2024,Paid,Bill Payment,Debit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0,02-01-2024,01-02-2024,Circle-South,150,112.48,30,30,No,No anomaly
INV106658,CUST003078,SVC7343,AGT002,15-06-2025,Paid,Recharge,Debit Card,Industry Solution,Enterprise,9999,1799.82,11798.82,16562.6,16562.6,0,12-06-2025,13-07-2025,Circle-East,750,461.15,31,31,Yes,Missing charges
INV106034,CUST003044,SVC3021,AGT022,22-04-2025,Paid,New Connection,Auto Debit,Executive Plan,Postpaid,2499,449.82,2948.82,2076.73,2076.73,0,18-04-2025,19-05-2025,Rural-Zone,75,8.32,31,31,Yes,Missing charges
INV106000,CUST004790,SVC7662,AGT040,02-05-2025,Paid,Plan Change,UPI,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0,30-04-2025,31-05-2025,Circle-North,500,133.33,31,31,Yes,Duplicate entries
INV101645,CUST007977,SVC7879,AGT044,13-01-2025,Pending,Bill Payment,Wallet,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0,2358.82,11-01-2025,11-02-2025,Circle-North,50,24.67,31,31,No,No anomaly
INV104489,CUST006939,SVC6930,AGT068,18-01-2025,Pending,Recharge,Auto Debit,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0,4718.82,14-01-2025,14-02-2025,Metro-A,150,65.29,31,31,No,No anomaly
INV104341,CUST000512,SVC7190,AGT029,15-10-2024,Paid,Renewal,Auto Debit,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,1532.82,0,11-10-2024,10-11-2024,Metro-A,40,21.99,30,30,No,No anomaly
