Invoice_number,Customer_id,Service_id,Agent_id,Billing_date,Payment_status,Transaction_type,Mode_of_payment,Plan_name,Plan_category,Plan_charge,Tax_amount,Actual_amount,Billed_amount,Paid_amount,Balance_amount,Plan_start_date,Plan_end_date,Zone_area,Data_bought,Data_used,Billing_cycle,Invoice_Num_Int,Is_Duplicate,Billing_date_year,Billing_date_month,Billing_date_day,Plan_start_date_year,Plan_start_date_month,Plan_start_date_day,Plan_end_date_year,Plan_end_date_month,Plan_end_date_day,No_of_valid_days,Leakage,Anomaly_type
INV100014,CUST003982,SVC2133,AGT137,2024-06-14,Paid,Plan Change,Debit Card,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0.0,2024-06-12,2024-07-12,Circle-West,15,1.22,30,100014,0,2024,6,14,2024,6,12,2024,7,12,31,No,No anomaly
INV100015,CUST007610,SVC9835,AGT052,2024-05-07,Pending,Renewal,Net Banking,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,0.0,1532.82,2024-05-04,2024-06-03,Circle-West,40,36.65,30,100015,0,2024,5,7,2024,5,4,2024,6,3,31,No,No anomaly
INV100016,CUST001841,SVC2049,AGT087,2025-07-18,Pending,New Connection,Wallet,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,2025-07-13,2025-08-10,Circle-East,1000,114.95,28,100016,0,2025,7,18,2025,7,13,2025,8,10,29,No,No anomaly
INV100017,CUST000483,SVC4750,AGT018,2024-03-13,Paid,New Connection,Auto Debit,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,2948.82,0.0,2024-03-12,2024-04-11,Circle-North,75,50.43,30,100017,0,2024,3,13,2024,3,12,2024,4,11,31,No,No anomaly
INV100018,CUST001084,SVC8744,AGT063,2024-12-02,Pending,Recharge,Auto Debit,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,0.0,2948.82,2024-11-29,2024-12-29,Circle-South,75,15.26,30,100018,0,2024,12,2,2024,11,29,2024,12,29,31,No,No anomaly
INV100019,CUST003826,SVC1887,AGT026,2024-10-05,Pending,New Connection,Net Banking,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0.0,2358.82,2024-10-01,2024-10-31,Circle-West,50,20.12,30,100019,0,2024,10,5,2024,10,1,2024,10,31,31,No,No anomaly
INV100020,CUST001149,SVC7912,AGT047,2025-03-08,Paid,Renewal,Net Banking,Basic Starter,Prepaid,399,71.82,470.82,470.82,470.82,0.0,2025-03-06,2025-04-05,Metro-B,5,2.55,30,100020,0,2025,3,8,2025,3,6,2025,4,5,31,No,No anomaly
INV100022,CUST000018,SVC7396,AGT068,2025-01-04,Paid,Recharge,UPI,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0.0,2024-12-31,2025-01-30,Circle-South,10,1.56,30,100022,0,2025,1,4,2024,12,31,2025,1,30,31,No,No anomaly
INV100023,CUST000480,SVC9883,AGT016,2025-06-20,Pending,Renewal,Credit Card,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,2025-06-18,2025-07-18,Metro-A,750,155.11,30,100023,0,2025,6,20,2025,6,18,2025,7,18,31,No,No anomaly
INV100026,CUST001073,SVC5915,AGT118,2024-07-29,Paid,Renewal,Auto Debit,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1178.82,0.0,2024-07-26,2024-08-25,Metro-A,25,6.31,30,100026,0,2024,7,29,2024,7,26,2024,8,25,31,No,No anomaly
INV100028,CUST005764,SVC5956,AGT136,2024-08-19,Pending,New Connection,Cash,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0.0,1768.82,2024-08-17,2024-09-14,Rural-Zone,30,23.76,28,100028,0,2024,8,19,2024,8,17,2024,9,14,29,No,No anomaly
INV100031,CUST002733,SVC3143,AGT068,2023-11-19,Pending,Plan Change,Cash,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0.0,2358.82,2023-11-15,2023-12-16,Circle-South,50,2.09,31,100031,0,2023,11,19,2023,11,15,2023,12,16,32,No,No anomaly
INV100034,CUST006140,SVC3532,AGT061,2025-05-29,Pending,Plan Change,Auto Debit,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0.0,5898.82,2025-05-24,2025-06-21,Rural-Zone,200,185.03,28,100034,0,2025,5,29,2025,5,24,2025,6,21,29,No,No anomaly
INV100035,CUST003373,SVC5065,AGT069,2025-04-20,Pending,Plan Change,Auto Debit,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,2025-04-18,2025-05-18,Circle-West,150,111.49,30,100035,0,2025,4,20,2025,4,18,2025,5,18,31,No,No anomaly
INV100036,CUST007524,SVC8541,AGT090,2024-08-03,Paid,Renewal,Auto Debit,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0.0,2024-07-30,2024-08-29,Rural-Zone,150,28.44,30,100036,0,2024,8,3,2024,7,30,2024,8,29,31,No,No anomaly
INV100037,CUST007081,SVC2137,AGT072,2024-02-20,Pending,Renewal,Cash,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0.0,3538.82,2024-02-18,2024-03-19,Circle-East,100,31.18,30,100037,0,2024,2,20,2024,2,18,2024,3,19,31,No,No anomaly
INV100039,CUST004190,SVC2894,AGT099,2024-05-24,Pending,Bill Payment,Debit Card,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,2024-05-21,2024-06-18,Circle-North,750,431.92,28,100039,0,2024,5,24,2024,5,21,2024,6,18,29,No,No anomaly
INV100040,CUST000574,SVC6409,AGT081,2024-05-15,Paid,New Connection,Cash,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0.0,2024-05-10,2024-06-09,Circle-North,150,51.9,30,100040,0,2024,5,15,2024,5,10,2024,6,9,31,No,No anomaly
INV100041,CUST002423,SVC3085,AGT050,2024-03-24,Pending,Recharge,Cash,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,2024-03-20,2024-04-20,Circle-South,1000,382.28,31,100041,0,2024,3,24,2024,3,20,2024,4,20,32,No,Usage mismatch
INV100042,CUST006830,SVC1006,AGT078,2025-08-03,Pending,Renewal,Debit Card,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0.0,9438.82,2025-07-29,2025-08-29,Circle-South,500,192.89,31,100042,0,2025,8,3,2025,7,29,2025,8,29,32,No,Usage mismatch
INV100043,CUST004188,SVC8752,AGT044,2025-08-10,Pending,New Connection,UPI,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,2025-08-06,2025-09-03,Circle-East,1000,641.85,28,100043,0,2025,8,10,2025,8,6,2025,9,3,29,No,No anomaly
INV100044,CUST001632,SVC3414,AGT007,2025-01-15,Pending,New Connection,Debit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,2025-01-13,2025-02-12,Circle-South,1000,213.41,30,100044,0,2025,1,15,2025,1,13,2025,2,12,31,No,No anomaly
INV100046,CUST007848,SVC9486,AGT119,2025-03-19,Paid,New Connection,Wallet,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0.0,2025-03-15,2025-04-14,Metro-B,200,33.42,30,100046,0,2025,3,19,2025,3,15,2025,4,14,31,No,No anomaly
INV100047,CUST007303,SVC8251,AGT130,2024-12-20,Pending,Recharge,Auto Debit,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,2024-12-16,2025-01-15,Circle-East,150,135.38,30,100047,0,2024,12,20,2024,12,16,2025,1,15,31,No,No anomaly
INV100048,CUST002026,SVC5543,AGT134,2024-05-23,Pending,Recharge,Cash,Smart Connect,Prepaid,699,125.82,824.82,824.82,0.0,824.82,2024-05-19,2024-06-19,Metro-B,15,3.69,31,100048,0,2024,5,23,2024,5,19,2024,6,19,32,No,Usage mismatch
INV100049,CUST002620,SVC9849,AGT021,2024-06-10,Paid,Plan Change,Debit Card,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0.0,2024-06-07,2024-07-07,Metro-B,10,2.58,30,100049,0,2024,6,10,2024,6,7,2024,7,7,31,No,No anomaly
INV100051,CUST007723,SVC6763,AGT077,2024-11-16,Pending,Recharge,Auto Debit,Youth Special,Prepaid,599,107.82,706.82,706.82,0.0,706.82,2024-11-15,2024-12-16,Rural-Zone,10,4.53,31,100051,0,2024,11,16,2024,11,15,2024,12,16,32,No,No anomaly
INV100053,CUST005098,SVC9751,AGT007,2024-10-04,Pending,Recharge,Wallet,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,2024-10-02,2024-11-02,Circle-East,750,655.17,31,100053,0,2024,10,4,2024,10,2,2024,11,2,32,No,Usage mismatch
INV100054,CUST001489,SVC1823,AGT067,2023-12-18,Paid,Recharge,UPI,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0.0,2023-12-14,2024-01-13,Metro-B,200,164.7,30,100054,0,2023,12,18,2023,12,14,2024,1,13,31,No,No anomaly
INV100055,CUST006816,SVC7906,AGT065,2025-07-01,Pending,New Connection,Net Banking,Data Booster,Prepaid,999,179.82,1178.82,1178.82,0.0,1178.82,2025-06-27,2025-07-25,Metro-A,25,17.86,28,100055,0,2025,7,1,2025,6,27,2025,7,25,29,No,No anomaly
INV100057,CUST000938,SVC4571,AGT120,2025-05-28,Paid,Renewal,Auto Debit,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,2948.82,0.0,2025-05-26,2025-06-25,Circle-North,75,33.74,30,100057,0,2025,5,28,2025,5,26,2025,6,25,31,No,No anomaly
INV100059,CUST006329,SVC5941,AGT031,2025-05-09,Paid,Bill Payment,Auto Debit,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0.0,2025-05-04,2025-06-03,Metro-A,15,1.45,30,100059,0,2025,5,9,2025,5,4,2025,6,3,31,No,No anomaly
INV100061,CUST004275,SVC5425,AGT138,2023-09-28,Pending,Recharge,Net Banking,Youth Special,Prepaid,599,107.82,706.82,706.82,0.0,706.82,2023-09-26,2023-10-27,Circle-South,10,1.67,31,100061,0,2023,9,28,2023,9,26,2023,10,27,32,No,No anomaly
INV100063,CUST001738,SVC6813,AGT067,2024-08-21,Pending,Renewal,UPI,Data Booster,Prepaid,999,179.82,1178.82,1178.82,0.0,1178.82,2024-08-17,2024-09-16,Circle-East,25,4.32,30,100063,0,2024,8,21,2024,8,17,2024,9,16,31,No,No anomaly
INV100065,CUST000763,SVC5820,AGT057,2024-06-18,Pending,Recharge,Cash,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,2024-06-14,2024-07-15,Metro-B,750,564.96,31,100065,0,2024,6,18,2024,6,14,2024,7,15,32,No,Usage mismatch
INV100066,CUST006111,SVC6419,AGT091,2024-10-23,Pending,Recharge,UPI,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,0.0,1532.82,2024-10-19,2024-11-16,Circle-North,40,16.17,28,100066,0,2024,10,23,2024,10,19,2024,11,16,29,No,No anomaly
INV100067,CUST004390,SVC4033,AGT050,2023-11-09,Pending,Plan Change,Cash,Smart Connect,Prepaid,699,125.82,824.82,824.82,0.0,824.82,2023-11-07,2023-12-07,Circle-South,15,1.7,30,100067,0,2023,11,9,2023,11,7,2023,12,7,31,No,No anomaly
INV100068,CUST006821,SVC4180,AGT076,2023-10-03,Pending,Plan Change,UPI,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,0.0,1532.82,2023-09-28,2023-10-29,Metro-B,40,37.26,31,100068,0,2023,10,3,2023,9,28,2023,10,29,32,No,No anomaly
INV100070,CUST003609,SVC6582,AGT048,2025-03-04,Pending,New Connection,UPI,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,2025-03-03,2025-04-02,Rural-Zone,750,334.45,30,100070,0,2025,3,4,2025,3,3,2025,4,2,31,No,No anomaly
INV100071,CUST005157,SVC1878,AGT039,2024-11-03,Pending,Plan Change,Auto Debit,Basic Starter,Prepaid,399,71.82,470.82,470.82,0.0,470.82,2024-10-30,2024-11-29,Circle-East,5,0.35,30,100071,0,2024,11,3,2024,10,30,2024,11,29,31,No,No anomaly
INV100072,CUST006478,SVC4697,AGT134,2024-05-09,Pending,Recharge,Net Banking,Basic Starter,Prepaid,399,71.82,470.82,470.82,0.0,470.82,2024-05-08,2024-06-07,Circle-South,5,2.88,30,100072,0,2024,5,9,2024,5,8,2024,6,7,31,No,No anomaly
INV100074,CUST003347,SVC8381,AGT121,2025-01-16,Paid,Renewal,Credit Card,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0.0,2025-01-14,2025-02-13,Metro-B,100,14.87,30,100074,0,2025,1,16,2025,1,14,2025,2,13,31,No,No anomaly
INV100077,CUST004046,SVC8172,AGT021,2025-08-20,Pending,Bill Payment,Credit Card,Data Booster,Prepaid,999,179.82,1178.82,1178.82,0.0,1178.82,2025-08-16,2025-09-16,Circle-South,25,11.89,31,100077,0,2025,8,20,2025,8,16,2025,9,16,32,No,No anomaly
INV100079,CUST004796,SVC8141,AGT126,2024-03-18,Pending,New Connection,Net Banking,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,2024-03-14,2024-04-14,Circle-North,150,25.86,31,100079,0,2024,3,18,2024,3,14,2024,4,14,32,No,No anomaly
INV100081,CUST000950,SVC7622,AGT132,2024-06-29,Pending,New Connection,Cash,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0.0,5898.82,2024-06-28,2024-07-26,Rural-Zone,200,47.96,28,100081,0,2024,6,29,2024,6,28,2024,7,26,29,No,No anomaly
INV100083,CUST007973,SVC4920,AGT041,2024-09-12,Pending,Renewal,Wallet,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0.0,9438.82,2024-09-08,2024-10-06,Metro-A,500,57.68,28,100083,0,2024,9,12,2024,9,8,2024,10,6,29,No,No anomaly
INV100084,CUST000963,SVC3522,AGT128,2024-09-28,Paid,Renewal,Wallet,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,11798.82,0.0,2024-09-26,2024-10-26,Circle-West,750,328.78,30,100084,0,2024,9,28,2024,9,26,2024,10,26,31,No,No anomaly
INV100085,CUST001185,SVC7284,AGT049,2024-11-12,Paid,Bill Payment,Wallet,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0.0,2024-11-08,2024-12-06,Circle-West,10,4.34,28,100085,0,2024,11,12,2024,11,8,2024,12,6,29,No,Usage mismatch
INV100086,CUST004160,SVC5377,AGT001,2025-07-22,Pending,Renewal,Cash,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0.0,2358.82,2025-07-18,2025-08-15,Circle-North,50,44.38,28,100086,0,2025,7,22,2025,7,18,2025,8,15,29,No,No anomaly
INV100087,CUST004522,SVC9903,AGT097,2023-12-26,Pending,Recharge,UPI,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,2023-12-22,2024-01-21,Rural-Zone,750,245.9,30,100087,0,2023,12,26,2023,12,22,2024,1,21,31,No,No anomaly
INV100089,CUST001035,SVC9229,AGT085,2023-09-27,Pending,New Connection,Auto Debit,Youth Special,Prepaid,599,107.82,706.82,706.82,0.0,706.82,2023-09-25,2023-10-26,Rural-Zone,10,9.17,31,100089,0,2023,9,27,2023,9,25,2023,10,26,32,No,Usage mismatch
INV100092,CUST005607,SVC5708,AGT059,2023-11-01,Paid,New Connection,Net Banking,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,1532.82,0.0,2023-10-27,2023-11-26,Metro-A,40,8.92,30,100092,0,2023,11,1,2023,10,27,2023,11,26,31,No,No anomaly
INV100093,CUST000377,SVC6314,AGT015,2024-05-02,Pending,Renewal,UPI,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0.0,5898.82,2024-04-30,2024-05-28,Circle-North,200,171.65,28,100093,0,2024,5,2,2024,4,30,2024,5,28,29,No,No anomaly
INV100094,CUST006493,SVC3950,AGT044,2023-10-09,Pending,Plan Change,Credit Card,Smart Connect,Prepaid,699,125.82,824.82,824.82,0.0,824.82,2023-10-04,2023-11-03,Circle-East,15,8.06,30,100094,0,2023,10,9,2023,10,4,2023,11,3,31,No,No anomaly
INV100095,CUST001173,SVC4804,AGT119,2024-01-28,Pending,Renewal,Net Banking,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,0.0,1532.82,2024-01-26,2024-02-26,Circle-North,40,34.69,31,100095,0,2024,1,28,2024,1,26,2024,2,26,32,No,No anomaly
INV100097,CUST003125,SVC6881,AGT148,2023-11-24,Pending,Renewal,Cash,Data Booster,Prepaid,999,179.82,1178.82,1178.82,0.0,1178.82,2023-11-20,2023-12-20,Circle-North,25,2.53,30,100097,0,2023,11,24,2023,11,20,2023,12,20,31,No,No anomaly
INV100099,CUST005906,SVC3240,AGT025,2025-05-30,Pending,New Connection,UPI,Smart Connect,Prepaid,699,125.82,824.82,824.82,0.0,824.82,2025-05-28,2025-06-28,Rural-Zone,15,9.66,31,100099,0,2025,5,30,2025,5,28,2025,6,28,32,No,Usage mismatch
INV100101,CUST002106,SVC8894,AGT076,2024-03-17,Pending,Renewal,Auto Debit,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,2024-03-12,2024-04-12,Metro-A,1000,788.95,31,100101,0,2024,3,17,2024,3,12,2024,4,12,32,No,No anomaly
INV100102,CUST006592,SVC6992,AGT024,2024-06-11,Pending,Recharge,Credit Card,Basic Starter,Prepaid,399,71.82,470.82,470.82,0.0,470.82,2024-06-09,2024-07-09,Circle-North,5,4.59,30,100102,0,2024,6,11,2024,6,9,2024,7,9,31,No,No anomaly
INV100103,CUST006738,SVC7086,AGT028,2025-04-13,Pending,Plan Change,Net Banking,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0.0,5898.82,2025-04-10,2025-05-08,Metro-A,200,111.07,28,100103,0,2025,4,13,2025,4,10,2025,5,8,29,No,No anomaly
INV100106,CUST006830,SVC9017,AGT105,2023-11-27,Pending,Renewal,Credit Card,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,2023-11-25,2023-12-26,Circle-West,750,466.63,31,100106,0,2023,11,27,2023,11,25,2023,12,26,32,No,No anomaly
INV100108,CUST005257,SVC1349,AGT013,2025-01-02,Paid,Renewal,Debit Card,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0.0,2024-12-29,2025-01-28,Metro-B,15,9.44,30,100108,0,2025,1,2,2024,12,29,2025,1,28,31,No,No anomaly
INV100109,CUST006661,SVC4817,AGT085,2023-10-14,Paid,Plan Change,Auto Debit,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0.0,2023-10-09,2023-11-08,Circle-East,500,278.53,30,100109,0,2023,10,14,2023,10,9,2023,11,8,31,No,No anomaly
INV100110,CUST000901,SVC1422,AGT034,2023-12-20,Pending,New Connection,UPI,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0.0,1768.82,2023-12-18,2024-01-17,Rural-Zone,30,22.76,30,100110,0,2023,12,20,2023,12,18,2024,1,17,31,No,No anomaly
INV100113,CUST004017,SVC8267,AGT019,2025-01-25,Pending,New Connection,UPI,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0.0,2358.82,2025-01-21,2025-02-18,Circle-East,50,32.59,28,100113,0,2025,1,25,2025,1,21,2025,2,18,29,No,No anomaly
INV100114,CUST004894,SVC9692,AGT076,2023-12-30,Pending,Recharge,Wallet,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0.0,2358.82,2023-12-27,2024-01-26,Circle-East,50,18.09,30,100114,0,2023,12,30,2023,12,27,2024,1,26,31,No,No anomaly
INV100116,CUST005449,SVC5176,AGT096,2024-02-19,Pending,Plan Change,Cash,Youth Special,Prepaid,599,107.82,706.82,706.82,0.0,706.82,2024-02-18,2024-03-20,Circle-South,10,4.05,31,100116,0,2024,2,19,2024,2,18,2024,3,20,32,No,Usage mismatch
INV100117,CUST006053,SVC7105,AGT034,2024-02-16,Pending,Bill Payment,Credit Card,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0.0,2358.82,2024-02-15,2024-03-16,Circle-East,50,4.59,30,100117,0,2024,2,16,2024,2,15,2024,3,16,31,No,No anomaly
INV100118,CUST005451,SVC7929,AGT014,2024-05-25,Pending,Renewal,Wallet,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,2024-05-24,2024-06-24,Circle-North,1000,335.92,31,100118,0,2024,5,25,2024,5,24,2024,6,24,32,No,No anomaly
INV100124,CUST006185,SVC9394,AGT030,2024-05-16,Pending,Renewal,Net Banking,Youth Special,Prepaid,599,107.82,706.82,706.82,0.0,706.82,2024-05-12,2024-06-12,Metro-A,10,2.6,31,100124,0,2024,5,16,2024,5,12,2024,6,12,32,No,No anomaly
INV100125,CUST003238,SVC1897,AGT002,2023-09-06,Pending,Plan Change,UPI,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,0.0,1532.82,2023-09-01,2023-09-29,Metro-B,40,1.73,28,100125,0,2023,9,6,2023,9,1,2023,9,29,29,No,No anomaly
INV100127,CUST007060,SVC1693,AGT112,2024-01-27,Pending,New Connection,Net Banking,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0.0,9438.82,2024-01-22,2024-02-22,Metro-A,500,34.24,31,100127,0,2024,1,27,2024,1,22,2024,2,22,32,No,No anomaly
INV100128,CUST003422,SVC5743,AGT030,2024-08-16,Pending,Recharge,Credit Card,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,0.0,1532.82,2024-08-11,2024-09-08,Circle-North,40,26.96,28,100128,0,2024,8,16,2024,8,11,2024,9,8,29,No,No anomaly
INV100132,CUST006225,SVC8354,AGT145,2024-04-26,Pending,Bill Payment,UPI,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0.0,5898.82,2024-04-22,2024-05-22,Rural-Zone,200,143.34,30,100132,0,2024,4,26,2024,4,22,2024,5,22,31,No,No anomaly
INV100133,CUST005173,SVC5961,AGT071,2024-11-13,Paid,Bill Payment,Credit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,2024-11-09,2024-12-09,Circle-North,1000,445.48,30,100133,0,2024,11,13,2024,11,9,2024,12,9,31,No,No anomaly
INV100134,CUST003021,SVC5703,AGT020,2023-12-24,Pending,New Connection,Wallet,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0.0,5898.82,2023-12-20,2024-01-17,Circle-East,200,7.15,28,100134,0,2023,12,24,2023,12,20,2024,1,17,29,No,No anomaly
INV100136,CUST000691,SVC9266,AGT045,2024-05-25,Pending,New Connection,Debit Card,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0.0,2358.82,2024-05-24,2024-06-21,Circle-West,50,46.66,28,100136,0,2024,5,25,2024,5,24,2024,6,21,29,No,No anomaly
INV100142,CUST007180,SVC3147,AGT097,2025-01-02,Paid,Plan Change,Debit Card,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0.0,2024-12-28,2025-01-27,Metro-B,30,18.86,30,100142,0,2025,1,2,2024,12,28,2025,1,27,31,No,No anomaly
INV100144,CUST006625,SVC8684,AGT050,2024-09-05,Paid,Renewal,Cash,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,11798.82,0.0,2024-08-31,2024-09-30,Circle-East,750,220.5,30,100144,0,2024,9,5,2024,8,31,2024,9,30,31,No,No anomaly
INV100145,CUST006692,SVC4271,AGT036,2024-06-20,Pending,Renewal,Credit Card,Youth Special,Prepaid,599,107.82,706.82,706.82,0.0,706.82,2024-06-16,2024-07-14,Circle-West,10,9.18,28,100145,0,2024,6,20,2024,6,16,2024,7,14,29,No,No anomaly
INV100147,CUST003399,SVC1872,AGT102,2024-07-06,Pending,Bill Payment,UPI,Basic Starter,Prepaid,399,71.82,470.82,470.82,0.0,470.82,2024-07-02,2024-08-01,Metro-B,5,4.42,30,100147,0,2024,7,6,2024,7,2,2024,8,1,31,No,No anomaly
