Invoice_Number,Customer_ID,Service_ID,Billing_Date,Payment_Status,Leakage_Flag,Transaction_Type,Mode_of_Payment,Product_Name,Service,Product_Category,Service_Category,Product_Quantity,Tax_Amount,Actual_Amount,Billed_Amount,Paid_Amount,Balance_Amount,Unit_Price,Tax_Rate,Service_Charge,Discount_Amount,Store_Branch,Cashier_ID,Supplier_ID,Billing_Time,Customer_Type,Order_Channel,Anomaly_Type,Invoice_Num_Int,Is_Duplicate,actual_billing_amnt
INV10046,CUST3151,SRV002,2023-10-24,Paid,Anomaly,Sale,Cheque,Salt (1kg),Standard Delivery,Pantry Staples,Delivery Services,9,21.6,180.0,241.6,276.3071887681234,-34.707188768123416,20.0,0.12,40,0,Online,CASH016,SUP149,19:30:23,Premium,Online,Excess Payment,10046,0,241.6
INV10048,CUST6461,SRV001,2024-07-04,Failed,Anomaly,Sale,Credit Card,Coffee Powder (200g),No Service,Beverages,No Service,5,315.0,1750.0,1835.6457734915432,0.0,1835.6457734915432,350.0,0.18,0,0,Branch A,CASH013,SUP182,12:28:51,New,Online,Missing Charges,10048,0,2065.0
INV10050,CUST1335,SRV003,2024-08-07,Pending,No Leakage,Return,Credit Card,Shampoo (250ml),Express Delivery,Personal Care,Delivery Services,4,129.6,720.0,929.6,0.0,929.6,180.0,0.18,80,0,Branch A,CASH001,SUP100,17:31:17,Wholesale,In-Store,No Anomaly,10050,0,929.6
INV10052,CUST6200,SRV001,2023-04-23,Paid,Anomaly,Return,Net Banking,Milk (1L),No Service,Dairy & Eggs,No Service,10,108.0,600.0,708.0,823.9389496543065,-115.9389496543065,60.0,0.18,0,0,Main Store,CASH007,SUP123,20:17:25,New,In-Store,Excess Payment,10052,0,708.0
INV10053,CUST7944,SRV003,2024-08-15,Failed,No Leakage,Return,Cheque,Shampoo (250ml),Express Delivery,Personal Care,Delivery Services,4,86.39999999999999,720.0,886.4,0.0,886.4,180.0,0.12,80,0,Online,CASH015,SUP127,14:58:57,New,Phone,No Anomaly,10053,0,886.4
INV10054,CUST3364,SRV003,2023-12-07,Paid,No Leakage,Return,Credit Card,Tomatoes (1kg),Express Delivery,Fresh Vegetables,Delivery Services,2,7.199999999999999,60.0,147.2,147.2,0.0,30.0,0.12,80,0,Main Store,CASH006,SUP178,02:22:52,New,Phone,No Anomaly,10054,0,147.2
INV10064,CUST7234,SRV002,2024-07-19,Paid,Anomaly,Sale,Debit Card,Toothpaste (150g),Standard Delivery,Personal Care,Delivery Services,1,10.8,60.0,110.8,85.34205519716627,25.457944802833723,60.0,0.18,40,0,Branch B,CASH005,SUP199,21:15:22,Premium,In-Store,Under Payment,10064,0,110.8
INV10065,CUST4139,SRV003,2024-04-27,Failed,No Leakage,Return,Credit Card,Chicken (1kg),Express Delivery,Meat & Fish,Delivery Services,2,25.0,500.0,605.0,0.0,605.0,250.0,0.05,80,0,Main Store,CASH001,SUP196,17:58:28,New,Phone,No Anomaly,10065,0,605.0
INV10067,CUST2518,SRV001,2023-11-16,Paid,Anomaly,Sale,Net Banking,Toothpaste (150g),No Service,Personal Care,No Service,4,43.2,240.0,283.2,254.7383220552804,28.46167794471961,60.0,0.18,0,0,Branch B,CASH002,SUP151,02:56:17,Premium,In-Store,Under Payment,10067,0,283.2
INV10068,CUST3177,SRV003,2024-08-17,Failed,No Leakage,Sale,Debit Card,Onions (1kg),Express Delivery,Fresh Vegetables,Delivery Services,4,19.2,160.0,259.2,0.0,259.2,40.0,0.12,80,0,Main Store,CASH018,SUP114,09:45:47,New,Online,No Anomaly,10068,0,259.2
INV10071,CUST7457,SRV001,2024-02-20,Pending,Anomaly,Return,Cash,Apples (1kg),No Service,Fruits,No Service,8,172.79999999999998,960.0,991.2195425363424,0.0,991.2195425363424,120.0,0.18,0,0,Branch B,CASH011,SUP103,04:48:54,Regular,Online,Missing Charges,10071,0,1132.8
INV10072,CUST8874,SRV001,2023-03-05,Pending,No Leakage,Return,UPI,Chips (100g),No Service,Snacks,No Service,9,32.4,180.0,212.4,0.0,212.4,20.0,0.18,0,0,Branch A,CASH007,SUP106,15:53:01,New,In-Store,No Anomaly,10072,0,212.4
INV10081,CUST1403,SRV001,2024-08-15,Paid,Anomaly,Sale,Cash,Cheese (200g),No Service,Dairy & Eggs,No Service,9,243.0,1350.0,1593.0,1834.9506488046711,-241.95064880467112,150.0,0.18,0,0,Main Store,CASH003,SUP135,08:32:45,Regular,In-Store,Excess Payment,10081,0,1593.0
INV10083,CUST2866,SRV002,2023-03-02,Failed,No Leakage,Return,Cash,Coffee Powder (200g),Standard Delivery,Beverages,Delivery Services,4,252.0,1400.0,1692.0,0.0,1692.0,350.0,0.18,40,0,Branch B,CASH002,SUP151,14:08:48,Premium,In-Store,No Anomaly,10083,0,1692.0
INV10084,CUST5658,SRV001,2024-06-06,Paid,No Leakage,Sale,Cheque,Eggs (12 pack),No Service,Dairy & Eggs,No Service,9,31.5,630.0,661.5,661.5,0.0,70.0,0.05,0,0,Branch B,CASH012,SUP115,19:36:27,Premium,Phone,No Anomaly,10084,0,661.5
INV10088,CUST2175,SRV003,2024-08-02,Paid,Anomaly,Return,Net Banking,Biscuits (200g),Express Delivery,Snacks,Delivery Services,9,13.5,270.0,363.5,305.03536234342613,58.46463765657387,30.0,0.05,80,0,Branch B,CASH016,SUP175,12:21:42,Regular,Phone,Under Payment,10088,0,363.5
INV10089,CUST3511,SRV003,2023-10-24,Paid,Anomaly,Sale,UPI,Biscuits (200g),Express Delivery,Snacks,Delivery Services,4,6.0,120.0,206.0,238.72633182759225,-32.72633182759222,30.0,0.05,80,0,Branch A,CASH018,SUP174,03:36:09,Regular,Online,Excess Payment,10089,0,206.0
INV10095,CUST7224,SRV001,2023-03-24,Failed,No Leakage,Return,Cheque,Oranges (1kg),No Service,Fruits,No Service,1,14.4,80.0,94.4,0.0,94.4,80.0,0.18,0,0,Branch A,CASH013,SUP141,11:47:17,Premium,In-Store,No Anomaly,10095,0,94.4
INV10097,CUST2899,SRV002,2023-12-31,Paid,Anomaly,Sale,Net Banking,Eggs (12 pack),Standard Delivery,Dairy & Eggs,Delivery Services,4,33.6,280.0,353.6,353.6,0.0,70.0,0.12,40,0,Main Store,CASH010,SUP152,13:06:14,Premium,In-Store,Duplicate Entries,10097,1,353.6
INV10097,CUST8604,SRV003,2024-08-27,Pending,Anomaly,Sale,Credit Card,Apples (1kg),Express Delivery,Fruits,Delivery Services,6,86.39999999999999,720.0,886.4,0.0,886.4,120.0,0.12,80,0,Branch B,CASH012,SUP160,10:14:47,Regular,Phone,Duplicate Entries,10097,1,886.4
INV10104,CUST1254,SRV003,2024-03-18,Failed,Anomaly,Return,Net Banking,Fish (1kg),Express Delivery,Meat & Fish,Delivery Services,10,540.0,3000.0,3540.0,0.0,3540.0,300.0,0.18,80,0,Main Store,CASH004,SUP110,00:51:29,New,Online,Missing Charges,10104,0,3620.0
INV10105,CUST3255,SRV003,2023-05-14,Failed,Anomaly,Sale,Cash,Biscuits (200g),Express Delivery,Snacks,Delivery Services,1,3.6,30.0,107.86469978589264,0.0,107.86469978589264,30.0,0.12,80,0,Online,CASH001,SUP105,04:13:43,Wholesale,In-Store,Missing Charges,10105,0,113.6
INV10106,CUST7281,SRV001,2023-02-07,Failed,No Leakage,Sale,UPI,Cooking Oil (1L),No Service,Pantry Staples,No Service,4,108.0,600.0,708.0,0.0,708.0,150.0,0.18,0,0,Branch A,CASH006,SUP146,09:34:39,Wholesale,Phone,No Anomaly,10106,0,708.0
INV10107,CUST1345,SRV003,2024-12-13,Failed,Anomaly,Return,UPI,Bananas (1kg),Express Delivery,Fruits,Delivery Services,9,81.0,450.0,531.0,0.0,531.0,50.0,0.18,80,0,Branch A,CASH012,SUP178,13:43:40,New,In-Store,Missing Charges,10107,0,611.0
INV10108,CUST5961,SRV002,2023-05-16,Paid,Anomaly,Return,Credit Card,Fish (1kg),Standard Delivery,Meat & Fish,Delivery Services,4,60.0,1200.0,1300.0,987.7211055932564,312.2788944067436,300.0,0.05,40,0,Online,CASH013,SUP199,11:43:00,Premium,Phone,Under Payment,10108,0,1300.0
INV10109,CUST1050,SRV002,2024-07-05,Paid,Anomaly,Return,UPI,Wheat Flour (1kg),Standard Delivery,Grains & Cereals,Delivery Services,1,8.1,45.0,53.1,53.1,0.0,45.0,0.18,40,0,Main Store,CASH004,SUP114,16:17:44,Premium,Phone,Missing Charges,10109,0,93.1
INV10110,CUST2798,SRV003,2023-12-05,Failed,No Leakage,Return,Credit Card,Bread (500g),Express Delivery,Bakery,Delivery Services,7,33.6,280.0,393.6,0.0,393.6,40.0,0.12,80,0,Branch A,CASH014,SUP179,21:19:05,Wholesale,In-Store,No Anomaly,10110,0,393.6
INV10116,CUST1405,SRV003,2024-01-10,Paid,No Leakage,Return,Debit Card,Bananas (1kg),Express Delivery,Fruits,Delivery Services,4,36.0,200.0,316.0,316.0,0.0,50.0,0.18,80,0,Online,CASH006,SUP101,22:24:54,Regular,Phone,No Anomaly,10116,0,316.0
INV10120,CUST8759,SRV002,2023-05-02,Paid,Anomaly,Sale,UPI,Detergent (1kg),Standard Delivery,Household,Delivery Services,3,30.0,600.0,670.0,519.1465668742,150.85343312580005,200.0,0.05,40,0,Branch A,CASH013,SUP147,12:03:52,New,Online,Under Payment,10120,0,670.0
INV10122,CUST9232,SRV003,2023-06-17,Paid,Anomaly,Sale,Cheque,Potatoes (1kg),Express Delivery,Fresh Vegetables,Delivery Services,1,6.3,35.0,115.67016928633238,115.67016928633238,0.0,35.0,0.18,80,0,Branch B,CASH014,SUP116,11:51:40,Premium,Phone,Missing Charges,10122,0,121.3
INV10124,CUST2796,SRV003,2023-11-11,Failed,No Leakage,Return,Credit Card,Chips (100g),Express Delivery,Snacks,Delivery Services,7,25.2,140.0,245.2,0.0,245.2,20.0,0.18,80,0,Main Store,CASH020,SUP124,18:55:04,Premium,Phone,No Anomaly,10124,0,245.2
INV10127,CUST4725,SRV003,2024-06-27,Failed,No Leakage,Sale,Net Banking,Tea Powder (250g),Express Delivery,Beverages,Delivery Services,8,172.79999999999998,960.0,1212.8,0.0,1212.8,120.0,0.18,80,0,Main Store,CASH016,SUP143,15:15:39,Wholesale,Online,No Anomaly,10127,0,1212.8
INV10128,CUST5500,SRV001,2024-06-11,Pending,No Leakage,Return,Credit Card,Dishwash Soap (500ml),No Service,Household,No Service,2,19.2,160.0,179.2,0.0,179.2,80.0,0.12,0,0,Online,CASH017,SUP157,04:07:32,Wholesale,Online,No Anomaly,10128,0,179.2
INV10131,CUST6205,SRV002,2024-05-10,Pending,No Leakage,Return,UPI,Sugar (1kg),Standard Delivery,Pantry Staples,Delivery Services,10,54.0,450.0,544.0,0.0,544.0,45.0,0.12,40,0,Branch B,CASH011,SUP156,06:36:03,Regular,In-Store,No Anomaly,10131,0,544.0
INV10136,CUST6855,SRV003,2023-05-24,Failed,Anomaly,Return,Credit Card,Milk (1L),Express Delivery,Dairy & Eggs,Delivery Services,3,9.0,180.0,269.0,133.66867933721335,135.33132066278665,60.0,0.05,80,0,Branch A,CASH006,SUP121,07:03:27,Wholesale,Online,Payment Status Mismatch,10136,0,269.0
INV10137,CUST5455,SRV002,2024-09-19,Pending,No Leakage,Return,Cash,Oranges (1kg),Standard Delivery,Fruits,Delivery Services,7,67.2,560.0,667.2,0.0,667.2,80.0,0.12,40,0,Branch A,CASH012,SUP139,22:41:55,Regular,Online,No Anomaly,10137,0,667.2
INV10139,CUST5243,SRV003,2024-07-13,Failed,No Leakage,Return,UPI,Bananas (1kg),Express Delivery,Fruits,Delivery Services,7,17.5,350.0,447.5,0.0,447.5,50.0,0.05,80,0,Branch B,CASH020,SUP117,04:37:24,Regular,Phone,No Anomaly,10139,0,447.5
INV10142,CUST3719,SRV003,2023-03-26,Failed,No Leakage,Sale,Cash,Apples (1kg),Express Delivery,Fruits,Delivery Services,4,24.0,480.0,584.0,0.0,584.0,120.0,0.05,80,0,Branch A,CASH007,SUP184,06:08:58,Premium,Phone,No Anomaly,10142,0,584.0
INV10145,CUST7660,SRV001,2023-09-19,Failed,Anomaly,Return,Debit Card,Detergent (1kg),No Service,Household,No Service,3,72.0,600.0,672.0,193.38039559577007,478.6196044042298,200.0,0.12,0,0,Main Store,CASH007,SUP160,00:09:55,Wholesale,In-Store,Payment Status Mismatch,10145,0,672.0
INV10146,CUST9938,SRV001,2023-12-17,Paid,No Leakage,Return,Debit Card,Rice (1kg),No Service,Grains & Cereals,No Service,5,15.0,300.0,315.0,315.0,0.0,60.0,0.05,0,0,Branch B,CASH009,SUP160,11:03:20,Wholesale,In-Store,No Anomaly,10146,0,315.0
INV10152,CUST8643,SRV003,2024-01-29,Failed,Anomaly,Return,Cheque,Cooking Oil (1L),Express Delivery,Pantry Staples,Delivery Services,4,30.0,600.0,710.0,251.9453229564743,458.05467704352566,150.0,0.05,80,0,Branch A,CASH008,SUP127,05:12:11,Regular,In-Store,Payment Status Mismatch,10152,0,710.0
INV10153,CUST3961,SRV001,2023-08-10,Paid,No Leakage,Sale,UPI,Salt (1kg),No Service,Pantry Staples,No Service,10,10.0,200.0,210.0,210.0,0.0,20.0,0.05,0,0,Branch A,CASH011,SUP144,21:18:16,Premium,Phone,No Anomaly,10153,0,210.0
INV10154,CUST8974,SRV001,2023-07-31,Pending,No Leakage,Return,Net Banking,Butter (100g),No Service,Dairy & Eggs,No Service,10,90.0,500.0,590.0,0.0,590.0,50.0,0.18,0,0,Main Store,CASH015,SUP199,11:04:55,Wholesale,Online,No Anomaly,10154,0,590.0
INV10156,CUST6960,SRV003,2023-12-04,Paid,No Leakage,Sale,Cheque,Lentils (1kg),Express Delivery,Grains & Cereals,Delivery Services,3,15.0,300.0,395.0,395.0,0.0,100.0,0.05,80,0,Online,CASH011,SUP106,15:21:40,Regular,In-Store,No Anomaly,10156,0,395.0
INV10162,CUST6125,SRV003,2024-04-29,Failed,No Leakage,Sale,Cheque,Dishwash Soap (500ml),Express Delivery,Household,Delivery Services,9,36.0,720.0,836.0,0.0,836.0,80.0,0.05,80,0,Online,CASH012,SUP115,20:22:53,New,Online,No Anomaly,10162,0,836.0
INV10163,CUST9854,SRV001,2023-06-12,Pending,No Leakage,Return,UPI,Onions (1kg),No Service,Fresh Vegetables,No Service,9,18.0,360.0,378.0,0.0,378.0,40.0,0.05,0,0,Branch A,CASH019,SUP118,05:02:47,Wholesale,Online,No Anomaly,10163,0,378.0
INV10167,CUST7184,SRV002,2024-04-30,Failed,No Leakage,Sale,Cheque,Potatoes (1kg),Standard Delivery,Fresh Vegetables,Delivery Services,10,17.5,350.0,407.5,0.0,407.5,35.0,0.05,40,0,Main Store,CASH001,SUP146,09:26:59,Wholesale,Phone,No Anomaly,10167,0,407.5
INV10168,CUST5324,SRV003,2024-11-16,Paid,Anomaly,Sale,Cash,Apples (1kg),Express Delivery,Fruits,Delivery Services,10,60.0,1200.0,1340.0,1173.8849801304927,166.11501986950725,120.0,0.05,80,0,Online,CASH010,SUP146,02:34:49,Wholesale,Online,Under Payment,10168,0,1340.0
INV10169,CUST2363,SRV001,2023-06-05,Pending,Anomaly,Return,Cheque,Cheese (200g),No Service,Dairy & Eggs,No Service,1,27.0,150.0,177.0,0.0,177.0,150.0,0.18,0,0,Main Store,CASH012,SUP181,09:45:04,Premium,Online,Duplicate Entries,10169,1,177.0
INV10169,CUST7428,SRV002,2023-12-16,Failed,Anomaly,Return,Debit Card,Dishwash Soap (500ml),Standard Delivery,Household,Delivery Services,3,19.93763768431332,166.14698070261096,226.08461838692423,0.0,226.08461838692423,80.0,0.12,40,0,Main Store,CASH010,SUP107,18:23:56,Premium,In-Store,Duplicate Entries,10169,1,226.0846183869243
INV10171,CUST2396,SRV003,2023-08-08,Failed,Anomaly,Return,Debit Card,Chicken (1kg),Express Delivery,Meat & Fish,Delivery Services,3,90.0,750.0,920.0,385.0853086521594,534.9146913478405,250.0,0.12,80,0,Branch B,CASH005,SUP194,05:00:53,Wholesale,Online,Payment Status Mismatch,10171,0,920.0
INV10173,CUST3407,SRV001,2023-08-11,Failed,Anomaly,Sale,UPI,Toothpaste (150g),No Service,Personal Care,No Service,8,24.0,480.0,390.48979649758905,0.0,390.48979649758905,60.0,0.05,0,0,Branch B,CASH013,SUP126,20:00:37,Premium,In-Store,Missing Charges,10173,0,504.0
INV10174,CUST8372,SRV001,2023-11-10,Paid,No Leakage,Return,UPI,Milk (1L),No Service,Dairy & Eggs,No Service,10,30.0,600.0,630.0,630.0,0.0,60.0,0.05,0,0,Online,CASH020,SUP193,10:16:37,Premium,In-Store,No Anomaly,10174,0,630.0
INV10176,CUST1594,SRV002,2024-11-12,Pending,No Leakage,Return,Net Banking,Bread (500g),Standard Delivery,Bakery,Delivery Services,3,21.6,120.0,181.6,0.0,181.6,40.0,0.18,40,0,Branch B,CASH009,SUP187,00:26:35,Regular,Online,No Anomaly,10176,0,181.6
INV10184,CUST9564,SRV002,2023-12-24,Paid,No Leakage,Sale,Net Banking,Potatoes (1kg),Standard Delivery,Fresh Vegetables,Delivery Services,3,5.25,105.0,150.25,150.25,0.0,35.0,0.05,40,0,Branch A,CASH010,SUP172,04:37:55,Regular,Phone,No Anomaly,10184,0,150.25
INV10188,CUST8171,SRV001,2023-08-02,Paid,No Leakage,Return,Net Banking,Shampoo (250ml),No Service,Personal Care,No Service,9,81.0,1620.0,1701.0,1701.0,0.0,180.0,0.05,0,0,Online,CASH016,SUP135,21:58:05,Wholesale,In-Store,No Anomaly,10188,0,1701.0
INV10189,CUST3931,SRV003,2024-05-11,Paid,Anomaly,Return,UPI,Onions (1kg),Express Delivery,Fresh Vegetables,Delivery Services,7,50.4,280.0,410.4,294.3842053158016,116.0157946841984,40.0,0.18,80,0,Online,CASH019,SUP166,18:42:56,Wholesale,Phone,Under Payment,10189,0,410.4
INV10191,CUST8142,SRV001,2024-06-22,Failed,No Leakage,Sale,Cash,Butter (100g),No Service,Dairy & Eggs,No Service,5,12.5,250.0,262.5,0.0,262.5,50.0,0.05,0,0,Main Store,CASH018,SUP159,13:17:45,Wholesale,Online,No Anomaly,10191,0,262.5
INV10192,CUST3962,SRV002,2023-05-13,Pending,No Leakage,Return,Net Banking,Fish (1kg),Standard Delivery,Meat & Fish,Delivery Services,8,288.0,2400.0,2728.0,0.0,2728.0,300.0,0.12,40,0,Branch A,CASH017,SUP109,17:13:49,Wholesale,Online,No Anomaly,10192,0,2728.0
INV10196,CUST4541,SRV002,2024-02-26,Pending,No Leakage,Return,Net Banking,Onions (1kg),Standard Delivery,Fresh Vegetables,Delivery Services,3,21.6,120.0,181.6,0.0,181.6,40.0,0.18,40,0,Branch A,CASH015,SUP171,09:08:39,Wholesale,Online,No Anomaly,10196,0,181.6
INV10198,CUST7930,SRV002,2023-04-07,Failed,No Leakage,Sale,Net Banking,Sugar (1kg),Standard Delivery,Pantry Staples,Delivery Services,3,16.2,135.0,191.2,0.0,191.2,45.0,0.12,40,0,Online,CASH012,SUP108,10:26:30,Wholesale,Phone,No Anomaly,10198,0,191.2
INV10202,CUST7912,SRV001,2023-04-21,Paid,No Leakage,Sale,Debit Card,Potatoes (1kg),No Service,Fresh Vegetables,No Service,1,6.3,35.0,41.3,41.3,0.0,35.0,0.18,0,0,Online,CASH004,SUP170,01:55:14,Premium,In-Store,No Anomaly,10202,0,41.3
INV10203,CUST4833,SRV001,2024-03-02,Pending,No Leakage,Sale,Cash,Chicken (1kg),No Service,Meat & Fish,No Service,2,90.0,500.0,590.0,0.0,590.0,250.0,0.18,0,0,Main Store,CASH007,SUP197,10:26:05,Premium,Phone,No Anomaly,10203,0,590.0
INV10207,CUST4359,SRV001,2023-04-24,Failed,No Leakage,Return,Credit Card,Oranges (1kg),No Service,Fruits,No Service,6,57.6,480.0,537.6,0.0,537.6,80.0,0.12,0,0,Online,CASH011,SUP139,02:44:53,Regular,Online,No Anomaly,10207,0,537.6
INV10214,CUST6752,SRV001,2023-07-04,Pending,No Leakage,Sale,Net Banking,Chips (100g),No Service,Snacks,No Service,3,10.8,60.0,70.8,0.0,70.8,20.0,0.18,0,0,Online,CASH006,SUP126,01:24:00,Wholesale,Online,No Anomaly,10214,0,70.8
INV10215,CUST7495,SRV003,2023-08-05,Paid,Anomaly,Sale,Cash,Detergent (1kg),Express Delivery,Household,Delivery Services,3,108.0,600.0,788.0,934.558271375625,-146.55827137562505,200.0,0.18,80,0,Branch A,CASH005,SUP143,00:52:42,Wholesale,Phone,Excess Payment,10215,0,788.0
INV10216,CUST2171,SRV002,2023-05-17,Failed,No Leakage,Return,Cash,Eggs (12 pack),Standard Delivery,Dairy & Eggs,Delivery Services,4,50.4,280.0,370.4,0.0,370.4,70.0,0.18,40,0,Main Store,CASH010,SUP193,21:56:01,Premium,In-Store,No Anomaly,10216,0,370.4
INV10217,CUST3109,SRV001,2023-01-19,Failed,Anomaly,Return,Debit Card,Tea Powder (250g),No Service,Beverages,No Service,6,86.39999999999999,720.0,806.4,128.89196040160965,677.5080395983903,120.0,0.12,0,0,Main Store,CASH006,SUP159,10:53:08,Premium,In-Store,Payment Status Mismatch,10217,0,806.4
INV10223,CUST9048,SRV002,2023-12-23,Paid,Anomaly,Sale,Credit Card,Oranges (1kg),Standard Delivery,Fruits,Delivery Services,5,48.0,400.0,488.0,577.2422241048125,-89.24222410481252,80.0,0.12,40,0,Branch B,CASH009,SUP185,04:06:23,Premium,Online,Excess Payment,10223,0,488.0
INV10233,CUST9426,SRV001,2023-11-17,Pending,No Leakage,Return,UPI,Bananas (1kg),No Service,Fruits,No Service,6,54.0,300.0,354.0,0.0,354.0,50.0,0.18,0,0,Branch B,CASH013,SUP124,01:04:44,Premium,In-Store,No Anomaly,10233,0,354.0
INV10235,CUST2421,SRV003,2024-05-03,Pending,No Leakage,Sale,UPI,Butter (100g),Express Delivery,Dairy & Eggs,Delivery Services,7,63.0,350.0,493.0,0.0,493.0,50.0,0.18,80,0,Main Store,CASH019,SUP166,02:50:11,Regular,In-Store,No Anomaly,10235,0,493.0
INV10236,CUST1154,SRV002,2023-01-20,Failed,No Leakage,Return,UPI,Milk (1L),Standard Delivery,Dairy & Eggs,Delivery Services,6,18.0,360.0,418.0,0.0,418.0,60.0,0.05,40,0,Online,CASH009,SUP129,19:58:12,Wholesale,In-Store,No Anomaly,10236,0,418.0
INV10237,CUST5925,SRV001,2023-12-01,Paid,No Leakage,Return,Credit Card,Toothpaste (150g),No Service,Personal Care,No Service,1,3.0,60.0,63.0,63.0,0.0,60.0,0.05,0,0,Main Store,CASH009,SUP132,07:10:45,Premium,Online,No Anomaly,10237,0,63.0
INV10238,CUST7330,SRV001,2024-11-27,Pending,No Leakage,Sale,Cheque,Oranges (1kg),No Service,Fruits,No Service,4,16.0,320.0,336.0,0.0,336.0,80.0,0.05,0,0,Main Store,CASH002,SUP194,08:05:33,Wholesale,Phone,No Anomaly,10238,0,336.0
INV10242,CUST2364,SRV002,2024-12-13,Paid,No Leakage,Sale,Debit Card,Onions (1kg),Standard Delivery,Fresh Vegetables,Delivery Services,9,18.0,360.0,418.0,418.0,0.0,40.0,0.05,40,0,Online,CASH014,SUP165,13:42:22,Regular,Phone,No Anomaly,10242,0,418.0
INV10244,CUST3016,SRV003,2023-08-25,Pending,No Leakage,Sale,Cash,Chicken (1kg),Express Delivery,Meat & Fish,Delivery Services,8,360.0,2000.0,2440.0,0.0,2440.0,250.0,0.18,80,0,Online,CASH018,SUP188,03:27:06,Premium,In-Store,No Anomaly,10244,0,2440.0
INV10245,CUST1195,SRV001,2024-04-20,Paid,No Leakage,Return,Net Banking,Wheat Flour (1kg),No Service,Grains & Cereals,No Service,10,81.0,450.0,531.0,531.0,0.0,45.0,0.18,0,0,Main Store,CASH009,SUP112,13:35:50,Wholesale,In-Store,No Anomaly,10245,0,531.0
