Invoice_Number,Customer_ID,Service_ID,Billing_Date,Payment_Status,Transaction_Type,Mode_of_Payment,Product_Name,Service,Product_Category,Service_Category,Product_Quantity,Tax_Amount,Actual_Amount,Billed_Amount,Paid_Amount,Balance_Amount,Unit_Price,Tax_Rate,Service_Charge,Discount_Amount,Store_Branch,Cashier_ID,Supplier_ID,Billing_Time,Customer_Type,Order_Channel,Invoice_Num_Int,Is_Duplicate
INV10045,CUST4221,SRV001,25-08-2024,Failed,Sale,UPI,Tea Powder (250g),No Service,Beverages,No Service,7,151.2,840,991.2,0,991.2,120,0.18,0,0,Branch B,CASH019,SUP197,22:23:45,Wholesale,In-Store,10045,0
INV10046,CUST3151,SRV002,24-10-2023,Paid,Sale,Cheque,Salt (1kg),Standard Delivery,Pantry Staples,Delivery Services,9,21.6,180,241.6,276.3071888,-34.70718877,20,0.12,40,0,Online,CASH016,SUP149,19:30:23,Premium,Online,10046,0
INV10048,CUST6461,SRV001,04-07-2024,Failed,Sale,Credit Card,Coffee Powder (200g),No Service,Beverages,No Service,5,315,1750,1835.645773,0,1835.645773,350,0.18,0,0,Branch A,CASH013,SUP182,12:28:51,New,Online,10048,0
INV10050,CUST1335,SRV003,07-08-2024,Pending,Return,Credit Card,Shampoo (250ml),Express Delivery,Personal Care,Delivery Services,4,129.6,720,929.6,0,929.6,180,0.18,80,0,Branch A,CASH001,SUP100,17:31:17,Wholesale,In-Store,10050,0
INV10052,CUST6200,SRV001,23-04-2023,Paid,Return,Net Banking,Milk (1L),No Service,Dairy & Eggs,No Service,10,108,600,708,823.9389497,-115.9389497,60,0.18,0,0,Main Store,CASH007,SUP123,20:17:25,New,In-Store,10052,0
INV10053,CUST7944,SRV003,15-08-2024,Failed,Return,Cheque,Shampoo (250ml),Express Delivery,Personal Care,Delivery Services,4,86.4,720,886.4,0,886.4,180,0.12,80,0,Online,CASH015,SUP127,14:58:57,New,Phone,10053,0
INV10054,CUST3364,SRV003,07-12-2023,Paid,Return,Credit Card,Tomatoes (1kg),Express Delivery,Fresh Vegetables,Delivery Services,2,7.2,60,147.2,147.2,0,30,0.12,80,0,Main Store,CASH006,SUP178,02:22:52,New,Phone,10054,0
INV10064,CUST7234,SRV002,19-07-2024,Paid,Sale,Debit Card,Toothpaste (150g),Standard Delivery,Personal Care,Delivery Services,1,10.8,60,110.8,85.3420552,25.4579448,60,0.18,40,0,Branch B,CASH005,SUP199,21:15:22,Premium,In-Store,10064,0
INV10065,CUST4139,SRV003,27-04-2024,Failed,Return,Credit Card,Chicken (1kg),Express Delivery,Meat & Fish,Delivery Services,2,25,500,605,0,605,250,0.05,80,0,Main Store,CASH001,SUP196,17:58:28,New,Phone,10065,0
INV10067,CUST2518,SRV001,16-11-2023,Paid,Sale,Net Banking,Toothpaste (150g),No Service,Personal Care,No Service,4,43.2,240,283.2,254.7383221,28.46167794,60,0.18,0,0,Branch B,CASH002,SUP151,02:56:17,Premium,In-Store,10067,0
INV10068,CUST3177,SRV003,17-08-2024,Failed,Sale,Debit Card,Onions (1kg),Express Delivery,Fresh Vegetables,Delivery Services,4,19.2,160,259.2,0,259.2,40,0.12,80,0,Main Store,CASH018,SUP114,09:45:47,New,Online,10068,0
INV10071,CUST7457,SRV001,20-02-2024,Pending,Return,Cash,Apples (1kg),No Service,Fruits,No Service,8,172.8,960,991.2195425,0,991.2195425,120,0.18,0,0,Branch B,CASH011,SUP103,04:48:54,Regular,Online,10071,0
INV10072,CUST8874,SRV001,05-03-2023,Pending,Return,UPI,Chips (100g),No Service,Snacks,No Service,9,32.4,180,212.4,0,212.4,20,0.18,0,0,Branch A,CASH007,SUP106,15:53:01,New,In-Store,10072,0
INV10081,CUST1403,SRV001,15-08-2024,Paid,Sale,Cash,Cheese (200g),No Service,Dairy & Eggs,No Service,9,243,1350,1593,1834.950649,-241.9506488,150,0.18,0,0,Main Store,CASH003,SUP135,08:32:45,Regular,In-Store,10081,0
INV10083,CUST2866,SRV002,02-03-2023,Failed,Return,Cash,Coffee Powder (200g),Standard Delivery,Beverages,Delivery Services,4,252,1400,1692,0,1692,350,0.18,40,0,Branch B,CASH002,SUP151,14:08:48,Premium,In-Store,10083,0
INV10084,CUST5658,SRV001,06-06-2024,Paid,Sale,Cheque,Eggs (12 pack),No Service,Dairy & Eggs,No Service,9,31.5,630,661.5,661.5,0,70,0.05,0,0,Branch B,CASH012,SUP115,19:36:27,Premium,Phone,10084,0
INV10088,CUST2175,SRV003,02-08-2024,Paid,Return,Net Banking,Biscuits (200g),Express Delivery,Snacks,Delivery Services,9,13.5,270,363.5,305.0353623,58.46463766,30,0.05,80,0,Branch B,CASH016,SUP175,12:21:42,Regular,Phone,10088,0
INV10089,CUST3511,SRV003,24-10-2023,Paid,Sale,UPI,Biscuits (200g),Express Delivery,Snacks,Delivery Services,4,6,120,206,238.7263318,-32.72633183,30,0.05,80,0,Branch A,CASH018,SUP174,03:36:09,Regular,Online,10089,0
INV10095,CUST7224,SRV001,24-03-2023,Failed,Return,Cheque,Oranges (1kg),No Service,Fruits,No Service,1,14.4,80,94.4,0,94.4,80,0.18,0,0,Branch A,CASH013,SUP141,11:47:17,Premium,In-Store,10095,0
INV10097,CUST2899,SRV002,31-12-2023,Paid,Sale,Net Banking,Eggs (12 pack),Standard Delivery,Dairy & Eggs,Delivery Services,4,33.6,280,353.6,353.6,0,70,0.12,40,0,Main Store,CASH010,SUP152,13:06:14,Premium,In-Store,10097,1
INV10097,CUST8604,SRV003,27-08-2024,Pending,Sale,Credit Card,Apples (1kg),Express Delivery,Fruits,Delivery Services,6,86.4,720,886.4,0,886.4,120,0.12,80,0,Branch B,CASH012,SUP160,10:14:47,Regular,Phone,10097,1
INV10104,CUST1254,SRV003,18-03-2024,Failed,Return,Net Banking,Fish (1kg),Express Delivery,Meat & Fish,Delivery Services,10,540,3000,3540,0,3540,300,0.18,80,0,Main Store,CASH004,SUP110,00:51:29,New,Online,10104,0
INV10105,CUST3255,SRV003,14-05-2023,Failed,Sale,Cash,Biscuits (200g),Express Delivery,Snacks,Delivery Services,1,3.6,30,107.8646998,0,107.8646998,30,0.12,80,0,Online,CASH001,SUP105,04:13:43,Wholesale,In-Store,10105,0
INV10106,CUST7281,SRV001,07-02-2023,Failed,Sale,UPI,Cooking Oil (1L),No Service,Pantry Staples,No Service,4,108,600,708,0,708,150,0.18,0,0,Branch A,CASH006,SUP146,09:34:39,Wholesale,Phone,10106,0
INV10107,CUST1345,SRV003,13-12-2024,Failed,Return,UPI,Bananas (1kg),Express Delivery,Fruits,Delivery Services,9,81,450,531,0,531,50,0.18,80,0,Branch A,CASH012,SUP178,13:43:40,New,In-Store,10107,0
INV10108,CUST5961,SRV002,16-05-2023,Paid,Return,Credit Card,Fish (1kg),Standard Delivery,Meat & Fish,Delivery Services,4,60,1200,1300,987.7211056,312.2788944,300,0.05,40,0,Online,CASH013,SUP199,11:43:00,Premium,Phone,10108,0
INV10109,CUST1050,SRV002,05-07-2024,Paid,Return,UPI,Wheat Flour (1kg),Standard Delivery,Grains & Cereals,Delivery Services,1,8.1,45,53.1,53.1,0,45,0.18,40,0,Main Store,CASH004,SUP114,16:17:44,Premium,Phone,10109,0
INV10110,CUST2798,SRV003,05-12-2023,Failed,Return,Credit Card,Bread (500g),Express Delivery,Bakery,Delivery Services,7,33.6,280,393.6,0,393.6,40,0.12,80,0,Branch A,CASH014,SUP179,21:19:05,Wholesale,In-Store,10110,0
INV10116,CUST1405,SRV003,10-01-2024,Paid,Return,Debit Card,Bananas (1kg),Express Delivery,Fruits,Delivery Services,4,36,200,316,316,0,50,0.18,80,0,Online,CASH006,SUP101,22:24:54,Regular,Phone,10116,0
INV10120,CUST8759,SRV002,02-05-2023,Paid,Sale,UPI,Detergent (1kg),Standard Delivery,Household,Delivery Services,3,30,600,670,519.1465669,150.8534331,200,0.05,40,0,Branch A,CASH013,SUP147,12:03:52,New,Online,10120,0
INV10122,CUST9232,SRV003,17-06-2023,Paid,Sale,Cheque,Potatoes (1kg),Express Delivery,Fresh Vegetables,Delivery Services,1,6.3,35,115.6701693,115.6701693,0,35,0.18,80,0,Branch B,CASH014,SUP116,11:51:40,Premium,Phone,10122,0
INV10124,CUST2796,SRV003,11-11-2023,Failed,Return,Credit Card,Chips (100g),Express Delivery,Snacks,Delivery Services,7,25.2,140,245.2,0,245.2,20,0.18,80,0,Main Store,CASH020,SUP124,18:55:04,Premium,Phone,10124,0
INV10127,CUST4725,SRV003,27-06-2024,Failed,Sale,Net Banking,Tea Powder (250g),Express Delivery,Beverages,Delivery Services,8,172.8,960,1212.8,0,1212.8,120,0.18,80,0,Main Store,CASH016,SUP143,15:15:39,Wholesale,Online,10127,0
INV10128,CUST5500,SRV001,11-06-2024,Pending,Return,Credit Card,Dishwash Soap (500ml),No Service,Household,No Service,2,19.2,160,179.2,0,179.2,80,0.12,0,0,Online,CASH017,SUP157,04:07:32,Wholesale,Online,10128,0
INV10131,CUST6205,SRV002,10-05-2024,Pending,Return,UPI,Sugar (1kg),Standard Delivery,Pantry Staples,Delivery Services,10,54,450,544,0,544,45,0.12,40,0,Branch B,CASH011,SUP156,06:36:03,Regular,In-Store,10131,0
INV10136,CUST6855,SRV003,24-05-2023,Failed,Return,Credit Card,Milk (1L),Express Delivery,Dairy & Eggs,Delivery Services,3,9,180,269,133.6686793,135.3313207,60,0.05,80,0,Branch A,CASH006,SUP121,07:03:27,Wholesale,Online,10136,0
INV10137,CUST5455,SRV002,19-09-2024,Pending,Return,Cash,Oranges (1kg),Standard Delivery,Fruits,Delivery Services,7,67.2,560,667.2,0,667.2,80,0.12,40,0,Branch A,CASH012,SUP139,22:41:55,Regular,Online,10137,0
INV10139,CUST5243,SRV003,13-07-2024,Failed,Return,UPI,Bananas (1kg),Express Delivery,Fruits,Delivery Services,7,17.5,350,447.5,0,447.5,50,0.05,80,0,Branch B,CASH020,SUP117,04:37:24,Regular,Phone,10139,0
INV10142,CUST3719,SRV003,26-03-2023,Failed,Sale,Cash,Apples (1kg),Express Delivery,Fruits,Delivery Services,4,24,480,584,0,584,120,0.05,80,0,Branch A,CASH007,SUP184,06:08:58,Premium,Phone,10142,0
INV10145,CUST7660,SRV001,19-09-2023,Failed,Return,Debit Card,Detergent (1kg),No Service,Household,No Service,3,72,600,672,193.3803956,478.6196044,200,0.12,0,0,Main Store,CASH007,SUP160,00:09:55,Wholesale,In-Store,10145,0
INV10146,CUST9938,SRV001,17-12-2023,Paid,Return,Debit Card,Rice (1kg),No Service,Grains & Cereals,No Service,5,15,300,315,315,0,60,0.05,0,0,Branch B,CASH009,SUP160,11:03:20,Wholesale,In-Store,10146,0
INV10152,CUST8643,SRV003,29-01-2024,Failed,Return,Cheque,Cooking Oil (1L),Express Delivery,Pantry Staples,Delivery Services,4,30,600,710,251.945323,458.054677,150,0.05,80,0,Branch A,CASH008,SUP127,05:12:11,Regular,In-Store,10152,0
INV10153,CUST3961,SRV001,10-08-2023,Paid,Sale,UPI,Salt (1kg),No Service,Pantry Staples,No Service,10,10,200,210,210,0,20,0.05,0,0,Branch A,CASH011,SUP144,21:18:16,Premium,Phone,10153,0
INV10154,CUST8974,SRV001,31-07-2023,Pending,Return,Net Banking,Butter (100g),No Service,Dairy & Eggs,No Service,10,90,500,590,0,590,50,0.18,0,0,Main Store,CASH015,SUP199,11:04:55,Wholesale,Online,10154,0
INV10156,CUST6960,SRV003,04-12-2023,Paid,Sale,Cheque,Lentils (1kg),Express Delivery,Grains & Cereals,Delivery Services,3,15,300,395,395,0,100,0.05,80,0,Online,CASH011,SUP106,15:21:40,Regular,In-Store,10156,0
INV10162,CUST6125,SRV003,29-04-2024,Failed,Sale,Cheque,Dishwash Soap (500ml),Express Delivery,Household,Delivery Services,9,36,720,836,0,836,80,0.05,80,0,Online,CASH012,SUP115,20:22:53,New,Online,10162,0
INV10163,CUST9854,SRV001,12-06-2023,Pending,Return,UPI,Onions (1kg),No Service,Fresh Vegetables,No Service,9,18,360,378,0,378,40,0.05,0,0,Branch A,CASH019,SUP118,05:02:47,Wholesale,Online,10163,0
INV10167,CUST7184,SRV002,30-04-2024,Failed,Sale,Cheque,Potatoes (1kg),Standard Delivery,Fresh Vegetables,Delivery Services,10,17.5,350,407.5,0,407.5,35,0.05,40,0,Main Store,CASH001,SUP146,09:26:59,Wholesale,Phone,10167,0
INV10168,CUST5324,SRV003,16-11-2024,Paid,Sale,Cash,Apples (1kg),Express Delivery,Fruits,Delivery Services,10,60,1200,1340,1173.88498,166.1150199,120,0.05,80,0,Online,CASH010,SUP146,02:34:49,Wholesale,Online,10168,0
INV10169,CUST2363,SRV001,05-06-2023,Pending,Return,Cheque,Cheese (200g),No Service,Dairy & Eggs,No Service,1,27,150,177,0,177,150,0.18,0,0,Main Store,CASH012,SUP181,09:45:04,Premium,Online,10169,1
INV10169,CUST7428,SRV002,16-12-2023,Failed,Return,Debit Card,Dishwash Soap (500ml),Standard Delivery,Household,Delivery Services,3,19.93763768,166.1469807,226.0846184,0,226.0846184,80,0.12,40,0,Main Store,CASH010,SUP107,18:23:56,Premium,In-Store,10169,1
INV10171,CUST2396,SRV003,08-08-2023,Failed,Return,Debit Card,Chicken (1kg),Express Delivery,Meat & Fish,Delivery Services,3,90,750,920,385.0853087,534.9146913,250,0.12,80,0,Branch B,CASH005,SUP194,05:00:53,Wholesale,Online,10171,0
INV10173,CUST3407,SRV001,11-08-2023,Failed,Sale,UPI,Toothpaste (150g),No Service,Personal Care,No Service,8,24,480,390.4897965,0,390.4897965,60,0.05,0,0,Branch B,CASH013,SUP126,20:00:37,Premium,In-Store,10173,0
INV10174,CUST8372,SRV001,10-11-2023,Paid,Return,UPI,Milk (1L),No Service,Dairy & Eggs,No Service,10,30,600,630,630,0,60,0.05,0,0,Online,CASH020,SUP193,10:16:37,Premium,In-Store,10174,0
INV10176,CUST1594,SRV002,12-11-2024,Pending,Return,Net Banking,Bread (500g),Standard Delivery,Bakery,Delivery Services,3,21.6,120,181.6,0,181.6,40,0.18,40,0,Branch B,CASH009,SUP187,00:26:35,Regular,Online,10176,0
INV10184,CUST9564,SRV002,24-12-2023,Paid,Sale,Net Banking,Potatoes (1kg),Standard Delivery,Fresh Vegetables,Delivery Services,3,5.25,105,150.25,150.25,0,35,0.05,40,0,Branch A,CASH010,SUP172,04:37:55,Regular,Phone,10184,0
INV10188,CUST8171,SRV001,02-08-2023,Paid,Return,Net Banking,Shampoo (250ml),No Service,Personal Care,No Service,9,81,1620,1701,1701,0,180,0.05,0,0,Online,CASH016,SUP135,21:58:05,Wholesale,In-Store,10188,0
INV10189,CUST3931,SRV003,11-05-2024,Paid,Return,UPI,Onions (1kg),Express Delivery,Fresh Vegetables,Delivery Services,7,50.4,280,410.4,294.3842053,116.0157947,40,0.18,80,0,Online,CASH019,SUP166,18:42:56,Wholesale,Phone,10189,0
INV10191,CUST8142,SRV001,22-06-2024,Failed,Sale,Cash,Butter (100g),No Service,Dairy & Eggs,No Service,5,12.5,250,262.5,0,262.5,50,0.05,0,0,Main Store,CASH018,SUP159,13:17:45,Wholesale,Online,10191,0
INV10192,CUST3962,SRV002,13-05-2023,Pending,Return,Net Banking,Fish (1kg),Standard Delivery,Meat & Fish,Delivery Services,8,288,2400,2728,0,2728,300,0.12,40,0,Branch A,CASH017,SUP109,17:13:49,Wholesale,Online,10192,0
INV10196,CUST4541,SRV002,26-02-2024,Pending,Return,Net Banking,Onions (1kg),Standard Delivery,Fresh Vegetables,Delivery Services,3,21.6,120,181.6,0,181.6,40,0.18,40,0,Branch A,CASH015,SUP171,09:08:39,Wholesale,Online,10196,0
INV10198,CUST7930,SRV002,07-04-2023,Failed,Sale,Net Banking,Sugar (1kg),Standard Delivery,Pantry Staples,Delivery Services,3,16.2,135,191.2,0,191.2,45,0.12,40,0,Online,CASH012,SUP108,10:26:30,Wholesale,Phone,10198,0
INV10202,CUST7912,SRV001,21-04-2023,Paid,Sale,Debit Card,Potatoes (1kg),No Service,Fresh Vegetables,No Service,1,6.3,35,41.3,41.3,0,35,0.18,0,0,Online,CASH004,SUP170,01:55:14,Premium,In-Store,10202,0
INV10203,CUST4833,SRV001,02-03-2024,Pending,Sale,Cash,Chicken (1kg),No Service,Meat & Fish,No Service,2,90,500,590,0,590,250,0.18,0,0,Main Store,CASH007,SUP197,10:26:05,Premium,Phone,10203,0
INV10207,CUST4359,SRV001,24-04-2023,Failed,Return,Credit Card,Oranges (1kg),No Service,Fruits,No Service,6,57.6,480,537.6,0,537.6,80,0.12,0,0,Online,CASH011,SUP139,02:44:53,Regular,Online,10207,0
INV10214,CUST6752,SRV001,04-07-2023,Pending,Sale,Net Banking,Chips (100g),No Service,Snacks,No Service,3,10.8,60,70.8,0,70.8,20,0.18,0,0,Online,CASH006,SUP126,01:24:00,Wholesale,Online,10214,0
INV10215,CUST7495,SRV003,05-08-2023,Paid,Sale,Cash,Detergent (1kg),Express Delivery,Household,Delivery Services,3,108,600,788,934.5582714,-146.5582714,200,0.18,80,0,Branch A,CASH005,SUP143,00:52:42,Wholesale,Phone,10215,0
INV10216,CUST2171,SRV002,17-05-2023,Failed,Return,Cash,Eggs (12 pack),Standard Delivery,Dairy & Eggs,Delivery Services,4,50.4,280,370.4,0,370.4,70,0.18,40,0,Main Store,CASH010,SUP193,21:56:01,Premium,In-Store,10216,0
INV10217,CUST3109,SRV001,19-01-2023,Failed,Return,Debit Card,Tea Powder (250g),No Service,Beverages,No Service,6,86.4,720,806.4,128.8919604,677.5080396,120,0.12,0,0,Main Store,CASH006,SUP159,10:53:08,Premium,In-Store,10217,0
INV10223,CUST9048,SRV002,23-12-2023,Paid,Sale,Credit Card,Oranges (1kg),Standard Delivery,Fruits,Delivery Services,5,48,400,488,577.2422241,-89.2422241,80,0.12,40,0,Branch B,CASH009,SUP185,04:06:23,Premium,Online,10223,0
INV10233,CUST9426,SRV001,17-11-2023,Pending,Return,UPI,Bananas (1kg),No Service,Fruits,No Service,6,54,300,354,0,354,50,0.18,0,0,Branch B,CASH013,SUP124,01:04:44,Premium,In-Store,10233,0
INV10235,CUST2421,SRV003,03-05-2024,Pending,Sale,UPI,Butter (100g),Express Delivery,Dairy & Eggs,Delivery Services,7,63,350,493,0,493,50,0.18,80,0,Main Store,CASH019,SUP166,02:50:11,Regular,In-Store,10235,0
INV10236,CUST1154,SRV002,20-01-2023,Failed,Return,UPI,Milk (1L),Standard Delivery,Dairy & Eggs,Delivery Services,6,18,360,418,0,418,60,0.05,40,0,Online,CASH009,SUP129,19:58:12,Wholesale,In-Store,10236,0
INV10237,CUST5925,SRV001,01-12-2023,Paid,Return,Credit Card,Toothpaste (150g),No Service,Personal Care,No Service,1,3,60,63,63,0,60,0.05,0,0,Main Store,CASH009,SUP132,07:10:45,Premium,Online,10237,0
INV10238,CUST7330,SRV001,27-11-2024,Pending,Sale,Cheque,Oranges (1kg),No Service,Fruits,No Service,4,16,320,336,0,336,80,0.05,0,0,Main Store,CASH002,SUP194,08:05:33,Wholesale,Phone,10238,0
INV10242,CUST2364,SRV002,13-12-2024,Paid,Sale,Debit Card,Onions (1kg),Standard Delivery,Fresh Vegetables,Delivery Services,9,18,360,418,418,0,40,0.05,40,0,Online,CASH014,SUP165,13:42:22,Regular,Phone,10242,0
INV10244,CUST3016,SRV003,25-08-2023,Pending,Sale,Cash,Chicken (1kg),Express Delivery,Meat & Fish,Delivery Services,8,360,2000,2440,0,2440,250,0.18,80,0,Online,CASH018,SUP188,03:27:06,Premium,In-Store,10244,0
INV10245,CUST1195,SRV001,20-04-2024,Paid,Return,Net Banking,Wheat Flour (1kg),No Service,Grains & Cereals,No Service,10,81,450,531,531,0,45,0.18,0,0,Main Store,CASH009,SUP112,13:35:50,Wholesale,In-Store,10245,0
INV10247,CUST8006,SRV003,15-09-2024,Pending,Sale,Credit Card,Shampoo (250ml),Express Delivery,Personal Care,Delivery Services,2,64.8,360,504.8,0,504.8,180,0.18,80,0,Branch B,CASH003,SUP141,08:40:29,New,Online,10247,0
INV10253,CUST7678,SRV001,02-12-2023,Failed,Return,Debit Card,Sugar (1kg),No Service,Pantry Staples,No Service,7,37.8,315,352.8,54.87661903,297.923381,45,0.12,0,0,Branch B,CASH002,SUP150,07:18:38,Regular,Online,10253,0
INV10254,CUST2302,SRV001,23-11-2023,Failed,Return,Credit Card,Onions (1kg),No Service,Fresh Vegetables,No Service,1,4.8,40,44.8,0,44.8,40,0.12,0,0,Online,CASH015,SUP167,00:49:10,Wholesale,Phone,10254,0
INV10256,CUST8580,SRV002,18-06-2024,Pending,Sale,Net Banking,Wheat Flour (1kg),Standard Delivery,Grains & Cereals,Delivery Services,3,6.75,135,181.75,0,181.75,45,0.05,40,0,Branch B,CASH012,SUP170,19:14:08,Premium,In-Store,10256,0
INV10258,CUST1095,SRV001,24-07-2023,Paid,Return,Cash,Fish (1kg),No Service,Meat & Fish,No Service,5,180,1500,1430.535632,1430.535632,0,300,0.12,0,0,Branch B,CASH020,SUP176,21:50:40,New,Phone,10258,0
INV10259,CUST4536,SRV002,24-03-2023,Paid,Return,Debit Card,Detergent (1kg),Standard Delivery,Household,Delivery Services,8,288,1600,1928,1928,0,200,0.18,40,0,Online,CASH016,SUP179,11:48:04,Premium,Phone,10259,0
INV10260,CUST2178,SRV001,11-01-2024,Failed,Return,Debit Card,Potatoes (1kg),No Service,Fresh Vegetables,No Service,5,8.75,175,183.75,28.41380996,155.33619,35,0.05,0,0,Online,CASH020,SUP103,01:33:05,Regular,In-Store,10260,0
INV10263,CUST3971,SRV001,02-04-2023,Paid,Sale,Cash,Milk (1L),No Service,Dairy & Eggs,No Service,8,24,480,504,504,0,60,0.05,0,0,Branch A,CASH001,SUP135,07:12:32,Wholesale,Phone,10263,0
INV10276,CUST1837,SRV001,28-11-2024,Paid,Sale,Net Banking,Biscuits (200g),No Service,Snacks,No Service,6,21.6,180,201.6,201.6,0,30,0.12,0,0,Main Store,CASH017,SUP195,16:09:36,Regular,In-Store,10276,0
INV10279,CUST2791,SRV001,20-09-2024,Failed,Return,Cheque,Tomatoes (1kg),No Service,Fresh Vegetables,No Service,10,36,300,336,0,336,30,0.12,0,0,Branch A,CASH006,SUP184,20:23:54,Premium,In-Store,10279,0
INV10280,CUST3497,SRV002,03-10-2024,Paid,Return,Cash,Chicken (1kg),Standard Delivery,Meat & Fish,Delivery Services,1,45,250,335,389.4689168,-54.4689168,250,0.18,40,0,Online,CASH005,SUP128,19:08:29,Regular,In-Store,10280,0
INV10283,CUST9617,SRV002,09-10-2024,Paid,Return,Debit Card,Bananas (1kg),Standard Delivery,Fruits,Delivery Services,3,18,150,208,208,0,50,0.12,40,0,Branch A,CASH003,SUP134,06:32:24,Regular,Phone,10283,0
INV10290,CUST6257,SRV003,06-12-2024,Paid,Return,Net Banking,Oranges (1kg),Express Delivery,Fruits,Delivery Services,1,4,80,164,164,0,80,0.05,80,0,Branch A,CASH003,SUP120,17:43:52,Wholesale,Phone,10290,0
INV10291,CUST6227,SRV002,24-05-2024,Paid,Return,Debit Card,Dishwash Soap (500ml),Standard Delivery,Household,Delivery Services,10,144,800,984,984,0,80,0.18,40,0,Main Store,CASH017,SUP187,10:19:16,Regular,Phone,10291,1
INV10291,CUST7348,SRV003,19-07-2024,Paid,Sale,Credit Card,Milk (1L),Express Delivery,Dairy & Eggs,Delivery Services,7,75.6,420,575.6,412.2027709,163.3972291,60,0.18,80,0,Online,CASH006,SUP198,05:57:00,Regular,Online,10291,1
INV10299,CUST9347,SRV003,24-09-2024,Paid,Return,UPI,Lentils (1kg),Express Delivery,Grains & Cereals,Delivery Services,7,84,700,864,864,0,100,0.12,80,0,Online,CASH008,SUP153,18:57:00,Regular,Online,10299,0
INV10301,CUST2366,SRV001,21-04-2024,Paid,Sale,Cash,Milk (1L),No Service,Dairy & Eggs,No Service,7,75.6,420,495.6,567.0984026,-71.49840256,60,0.18,0,0,Branch A,CASH017,SUP127,15:49:52,New,Online,10301,0
INV10306,CUST3638,SRV001,30-10-2023,Failed,Sale,Credit Card,Apples (1kg),No Service,Fruits,No Service,7,100.8,840,940.8,0,940.8,120,0.12,0,0,Branch A,CASH013,SUP171,15:38:19,Wholesale,In-Store,10306,0
INV10308,CUST4480,SRV002,28-08-2023,Pending,Return,Net Banking,Chips (100g),Standard Delivery,Snacks,Delivery Services,1,1,20,61,0,61,20,0.05,40,0,Branch B,CASH012,SUP101,23:41:20,Wholesale,Online,10308,0
INV10313,CUST3289,SRV002,29-04-2024,Paid,Sale,Net Banking,Chips (100g),Standard Delivery,Snacks,Delivery Services,7,25.2,140,205.2,243.5307119,-38.33071189,20,0.18,40,0,Branch B,CASH009,SUP112,10:29:24,Premium,Phone,10313,0
